batch_index,sample_index,forecast_step,adaptive_alpha_scale,future_rainfall,location,event,start_idx
0,0,0,1.0886283,13.029296,location1,r500y_p0.4_d3h,0
0,0,1,1.0886283,13.029296,location1,r500y_p0.4_d3h,0
0,0,2,1.0980926,21.574987,location1,r500y_p0.4_d3h,0
0,0,3,1.0980926,21.574987,location1,r500y_p0.4_d3h,0
0,0,4,1.0822233,10.791419,location1,r500y_p0.4_d3h,0
0,0,5,1.0822233,10.791419,location1,r500y_p0.4_d3h,0
0,0,6,1.0671093,7.5604229,location1,r500y_p0.4_d3h,0
0,0,7,1.0671093,7.5604229,location1,r500y_p0.4_d3h,0
0,0,8,1.0566707,6.0326805,location1,r500y_p0.4_d3h,0
0,0,9,1.0566707,6.0326805,location1,r500y_p0.4_d3h,0
0,0,10,1.0492009,5.1200199,location1,r500y_p0.4_d3h,0
0,0,11,1.0492009,5.1200199,location1,r500y_p0.4_d3h,0
0,1,0,1.0671093,7.5604229,location1,r500y_p0.4_d3h,6
0,1,1,1.0671093,7.5604229,location1,r500y_p0.4_d3h,6
0,1,2,1.0566707,6.0326805,location1,r500y_p0.4_d3h,6
0,1,3,1.0566707,6.0326805,location1,r500y_p0.4_d3h,6
0,1,4,1.0492009,5.1200199,location1,r500y_p0.4_d3h,6
0,1,5,1.0492009,5.1200199,location1,r500y_p0.4_d3h,6
0,1,6,1.0436084,4.5035658,location1,r500y_p0.4_d3h,6
0,1,7,1.0436084,4.5035658,location1,r500y_p0.4_d3h,6
0,1,8,1.0392683,4.0543127,location1,r500y_p0.4_d3h,6
0,1,9,1.0392683,4.0543127,location1,r500y_p0.4_d3h,6
0,1,10,1.0358045,3.7095563,location1,r500y_p0.4_d3h,6
0,1,11,1.0358045,3.7095563,location1,r500y_p0.4_d3h,6
1,0,0,1.0436084,4.5035658,location1,r500y_p0.4_d3h,12
1,0,1,1.0436084,4.5035658,location1,r500y_p0.4_d3h,12
1,0,2,1.0392683,4.0543127,location1,r500y_p0.4_d3h,12
