metric,pearson_correlation_with_risk_score,mean_reliable,mean_caution,mean_high_risk,row_count
relative_volume_bias,-0.7990211383101292,-0.024122253707373677,-0.10508232789781233,-0.41239487785339435,152
wet_area_contraction,0.8173543053655585,0.03546961766915362,0.11361074539537973,0.3305422656294614,152
peak_depth_underprediction,0.8589147297141325,0.027678152689566977,0.25154655594979564,1.3621582564185648,152
false_dry_rate,0.8442356759934223,0.1045839466828086,0.22661819448124484,0.3984731963952401,152
false_wet_rate,-0.5546347886766481,0.016375294136690796,0.009222811929444285,0.005695957407913662,152
wet_component_count_change,-0.28321541742194933,1.8365384615384615,-24.06451612903226,-31.823529411764707,152
largest_component_ratio_change,-0.6830303853672759,-0.030783423985973814,-0.04211662907121947,-0.2883952174411277,152
connectivity_loss_indicator,0.48190891861289037,0.22115384615384615,0.22580645161290322,0.9411764705882353,152
rmse,0.6039366172411623,0.04672243788716586,0.04451634068890711,0.08340962959165125,152
mae,0.00021483969644953797,0.017099415461201414,0.011530794595858878,0.01802469695906373,152
