split,location,scenario,scenario_type,sample_count,valid_window_count,valid_step_count,rmse,mae,wet_dry_iou,false_dry_rate,false_wet_rate,target_wet_fraction,pred_wet_fraction,mean_target_depth,mean_pred_depth,max_target_depth,max_pred_depth,absolute_volume_bias_proxy,relative_volume_bias_proxy,absolute_relative_volume_bias_proxy,peak_depth_underprediction_proxy,step_rmse_mean,step_rmse_std,rollout_stability,missing_or_invalid_metric,warning_level
test,location1,G1135_intensity_103,measured,8,8,12,0.00553428673996515,0.0022169488753813007,0.9421053710957528,0.038229629009295704,0.0013497268055472824,0.060735066731770836,0.059680938720703125,0.01824522922839833,0.018006229341456976,1.6391682624816895,1.6319111585617065,375.91431817412376,-0.013099308534274495,0.013099308534274495,0.00725710391998291,0.005343644164006982,0.0014400679573415695,0.9985620028562678,False,reliable
test,location1,G1135_intensity_161,measured,8,8,12,0.0037657228151818174,0.0019539191077152887,0.9491893698813304,0.025656253711842263,0.0013412660402526764,0.04817390441894531,0.04821459452311198,0.013645906112894105,0.013423565581130484,1.5366705656051636,1.5401612520217896,349.71141815185547,-0.01629357038837675,0.01629357038837675,0.0,0.0037466989009632013,0.00037804188745493454,0.9996221009742061,False,reliable
test,location1,G1166_intensity_246,measured,8,8,12,0.0052945007137597325,0.00214135687565431,0.9071202939659618,0.05676028958305403,0.0015701906962236121,0.037938435872395836,0.03729565938313802,0.01069794530121726,0.010380039116474412,1.602015733718872,1.6045879125595093,500.023193359375,-0.029716564797417248,0.029716564797417248,0.0,0.0052156802657469595,0.0009101742713844563,0.9990906533925015,False,caution
test,location1,G1166_intensity_394,measured,8,8,12,0.006279660254407067,0.0028175629364947477,0.9446912439354435,0.03558047386722014,0.002175549047082841,0.09434763590494792,0.09296099344889323,0.031905028391823485,0.03163161089166048,1.9416329860687256,1.9454305171966553,430.0485429763794,-0.008569730664557948,0.008569730664557948,0.0,0.006192906269698515,0.001040213745863224,0.9989608671743858,False,reliable
test,location1,G3501_intensity_151,measured,8,8,12,0.004119740295626141,0.002208154124673456,0.9534419744593026,0.026602049147944267,0.00163403732651205,0.07241630554199219,0.07200558980305989,0.021320602616015094,0.021157675956298288,1.591009497642517,1.5848411321640015,256.2614777088165,-0.007641747405133102,0.007641747405133102,0.006168365478515625,0.004109080518240138,0.00029617123092077135,0.9997039164605055,False,reliable
test,location1,G3531_intensity_128,measured,8,8,12,0.006569440464807087,0.0027112020179629326,0.940218198273363,0.028833513481931583,0.003138710531080686,0.08705393473307292,0.08740933736165364,0.027079217423590762,0.027238240921481822,1.7513091564178467,1.7604988813400269,250.12233498692513,0.00587252930553758,0.00587252930553758,0.0,0.006511292780391368,0.0008721313727136793,0.9991286285776412,False,reliable
test,location1,r100y_p0.5_d3h,design,8,8,12,0.005472416004106591,0.0025282855688904724,0.9627751515025302,0.02217122552466965,0.002136954424406231,0.12023862202962239,0.11945279439290364,0.04172064579809861,0.041533068329348076,1.99599027633667,2.0009303092956543,295.0338478088379,-0.004496034640937448,0.004496034640937448,0.0,0.005465965981231231,0.0002656176988048552,0.9997344528352219,False,reliable
test,location1,r100y_p0.8_d3h,design,8,8,12,0.006308179828777061,0.0028601693144689002,0.9572157671842763,0.01772879731672257,0.003371652569072946,0.11411158243815105,0.11507542928059895,0.03996360920427833,0.04036396441733814,2.0066921710968018,2.0122013092041016,629.7043018341064,0.010017994396185585,0.010017994396185585,0.0,0.006201449272397508,0.0011554907603309364,0.9988458428575832,False,reliable
test,location1,r200y_p0.5_d3h,design,8,8,12,0.0060148755574805386,0.0026940455039342246,0.9668254442719533,0.015914221218961626,0.0026572511255700893,0.1295598347981771,0.12981096903483072,0.04709083390480373,0.04727114854904357,2.053644895553589,2.0518412590026855,283.61041259765625,0.003829081570404066,0.003829081570404066,0.0018036365509033203,0.005972694066434443,0.000711093408420305,0.9992894118861037,False,reliable
test,location1,r200y_p0.7_d3h,design,8,8,12,0.005114807686030872,0.0024647239091185233,0.9661414528001976,0.021006541739425056,0.0018479108542315493,0.12197176615397136,0.12103207906087239,0.044486647636707254,0.04423099804262165,2.0695443153381348,2.0691850185394287,402.10204315185547,-0.005746659001445131,0.005746659001445131,0.0003592967987060547,0.005093257006977573,0.0004690311948400485,0.9995311886922877,False,reliable
