split,location,scenario,scenario_type,rmse,mae,wet_dry_iou,false_dry_rate,false_wet_rate,absolute_relative_volume_bias_proxy,peak_depth_underprediction_proxy,phase53_warning_level,warning_action,primary_failure_driver,secondary_failure_drivers,missing_metric_flags,phase48_warning_level,phase48_failure_drivers,warning_label_transition,warning_labels_are_probabilities
test,location2,G3501_intensity_151,measured,0.0043911769369345075,0.0013923856992429744,0.9261143651345181,0.04813529921942758,0.0007107172245253517,0.03656769353754388,0.131311297416687,high-risk,high_risk_requires_review_or_supplemental_evidence,elevated volume-bias proxy,peak-depth underprediction proxy,,high-risk,low wet/dry IoU | elevated volume-bias proxy,unchanged,False
test,location2,G3531_intensity_128,measured,0.00596835891223607,0.001739974832162261,0.8663906235858448,0.07406780480727378,0.0018556849122761197,0.006343355067193532,0.03520405292510986,caution,use_with_caution_and_review_diagnostics,low wet/dry IoU,peak-depth underprediction proxy,,high-risk,low wet/dry IoU | elevated false-dry rate,improved,False
test,location2,r100y_p0.5_d3h,design,0.004844153342274657,0.0017868461436592042,0.9404922409918841,0.030587081215853507,0.001505201514938308,0.0010275593504010345,0.008538246154785156,reliable,normal_use_with_standard_monitoring,peak-depth underprediction proxy,,,caution,high RMSE | low wet/dry IoU | elevated false-dry rate,improved,False
test,location2,r100y_p0.8_d3h,design,0.004723027168277614,0.0018207955678614478,0.936094156211145,0.029828671840679454,0.001652294935310593,0.011646326851150952,0.0,reliable,normal_use_with_standard_monitoring,no major Phase 48 failure driver flagged,,,high-risk,high RMSE | low wet/dry IoU | elevated false-dry rate | elevated volume-bias proxy,improved,False
test,location2,r200y_p0.5_d3h,design,0.0053680472954112934,0.0018447563925292343,0.9395181833620417,0.036630720051743226,0.0013675344245467403,0.010115851962136026,0.0,reliable,normal_use_with_standard_monitoring,no major Phase 48 failure driver flagged,,,high-risk,high RMSE | low wet/dry IoU | elevated false-dry rate,improved,False
test,location2,r200y_p0.7_d3h,design,0.00408677858617102,0.0017482592472030471,0.943148041925223,0.03239310409394268,0.0012943104409266434,0.003205838091607062,0.015913009643554688,reliable,normal_use_with_standard_monitoring,peak-depth underprediction proxy,,,high-risk,low wet/dry IoU | elevated false-dry rate | peak-depth underprediction proxy,improved,False
test,location2,r300y_p0.1_d3h,design,0.006229938288286093,0.001775424073760708,0.9206012354523458,0.06803596108321132,0.0006014195368002748,0.04422645414261829,0.002743244171142578,high-risk,high_risk_requires_review_or_supplemental_evidence,elevated volume-bias proxy,peak-depth underprediction proxy,,high-risk,low wet/dry IoU | elevated false-dry rate | elevated volume-bias proxy | peak-depth underprediction proxy,unchanged,False
test,location2,r300y_p0.5_d3h,design,0.006102813522616889,0.0019776610715780407,0.9213324503642247,0.06503436208251971,0.0007811255436754266,0.04199924247137808,0.008128643035888672,high-risk,high_risk_requires_review_or_supplemental_evidence,elevated volume-bias proxy,peak-depth underprediction proxy,,high-risk,high RMSE | low wet/dry IoU | elevated false-dry rate | elevated volume-bias proxy | peak-depth underprediction proxy,unchanged,False
test,location2,r300y_p0.6_d3h,design,0.004140159278006779,0.0017312697794598837,0.943574213777486,0.037781998551576185,0.0009642050542748758,0.01988488810686557,0.0,reliable,normal_use_with_standard_monitoring,no major Phase 48 failure driver flagged,,,high-risk,high RMSE | low wet/dry IoU | elevated false-dry rate | peak-depth underprediction proxy,improved,False
test,location2,r300y_p0.8_d3h,design,0.005280379175299763,0.0019413757254369557,0.9322102475447824,0.04025447797932367,0.0015666394178528605,0.010826473863731504,0.0,reliable,normal_use_with_standard_monitoring,no major Phase 48 failure driver flagged,,,high-risk,high RMSE | low wet/dry IoU | elevated false-dry rate | peak-depth underprediction proxy,improved,False
