split,location,scenario,scenario_type,false_dry_count,false_wet_count,target_wet_count,target_dry_count,false_dry_rate,false_wet_rate,wet_dry_iou,target_wet_prevalence,predicted_wet_prevalence
test,location1,G1135_intensity_103,measured,3652,1994,95528,1477336,0.038229629009295704,0.0013497268055472824,0.9421053710957528,0.060735066731770836,0.059680938720703125
test,location1,G1135_intensity_161,measured,1944,2008,75771,1497093,0.025656253711842263,0.0013412660402526764,0.9491893698813304,0.04817390441894531,0.04821459452311198
test,location1,G1166_intensity_246,measured,3387,2376,59672,1513192,0.05676028958305403,0.0015701906962236121,0.9071202939659618,0.037938435872395836,0.03729565938313802
test,location1,G1166_intensity_394,measured,5280,3099,148396,1424468,0.03558047386722014,0.002175549047082841,0.9446912439354435,0.09434763590494792,0.09296099344889323
test,location1,G3501_intensity_151,measured,3030,2384,113901,1458963,0.026602049147944267,0.00163403732651205,0.9534419744593026,0.07241630554199219,0.07200558980305989
test,location1,G3531_intensity_128,measured,3948,4507,136924,1435940,0.028833513481931583,0.003138710531080686,0.940218198273363,0.08705393473307292,0.08740933736165364
test,location1,r100y_p0.5_d3h,design,4193,2957,189119,1383745,0.02217122552466965,0.002136954424406231,0.9627751515025302,0.12023862202962239,0.11945279439290364
test,location1,r100y_p0.8_d3h,design,3182,4698,179482,1393382,0.01772879731672257,0.003371652569072946,0.9572157671842763,0.11411158243815105,0.11507542928059895
test,location1,r200y_p0.5_d3h,design,3243,3638,203780,1369084,0.015914221218961626,0.0026572511255700893,0.9668254442719533,0.1295598347981771,0.12981096903483072
test,location1,r200y_p0.7_d3h,design,4030,2552,191845,1381019,0.021006541739425056,0.0018479108542315493,0.9661414528001976,0.12197176615397136,0.12103207906087239
test,location1,r300y_p0.1_d3h,design,5762,2255,225166,1347698,0.02559000914880577,0.0016732235263389869,0.9647481982754451,0.14315668741861978,0.14092699686686197
test,location1,r300y_p0.5_d3h,design,3560,3352,210584,1362280,0.0169053679291874,0.002460580791026808,0.9676912721561588,0.13388570149739584,0.13375345865885416
test,location1,r300y_p0.6_d3h,design,5141,2886,209043,1363821,0.024593026315160037,0.002116113478235047,0.9621241076020742,0.1329059600830078,0.1314722696940104
test,location1,r300y_p0.8_d3h,design,4198,3401,198797,1374067,0.02111701886849399,0.0024751340364043382,0.9624180258954095,0.12639172871907553,0.125885009765625
test,location1,r500y_p0.1_d3h,design,6764,2251,234941,1337923,0.02879020690300969,0.0016824585570320565,0.9619928159465749,0.14937146504720053,0.1465021769205729
test,location1,r500y_p0.3_d3h,design,5829,2440,232443,1340421,0.025077115679973155,0.0018203236147449197,0.9647952384804349,0.1477832794189453,0.14562861124674478
test,location2,G1135_intensity_103,measured,2531,1266,30250,1542614,0.08366942148760331,0.00082068488941498,0.8795215128823455,0.019232432047526043,0.01842816670735677
test,location2,G1135_intensity_161,measured,1040,814,25719,1547145,0.040437030988763174,0.0005261303885544018,0.9301247503109336,0.016351699829101562,0.01620801289876302
test,location2,G1166_intensity_246,measured,2287,1225,24950,1547914,0.0916633266533066,0.000791387635230381,0.8658261700095511,0.015862782796223957,0.015187581380208334
test,location2,G1166_intensity_394,measured,3050,2206,51207,1521657,0.059562169234674944,0.0014497353871470377,0.9015969894969389,0.03255653381347656,0.03201993306477865
test,location2,G3501_intensity_151,measured,1887,1090,39202,1533662,0.04813529921942758,0.0007107172245253517,0.9261143651345181,0.024923960367838543,0.02441724141438802
test,location2,G3531_intensity_128,measured,3063,2842,41354,1531510,0.07406780480727378,0.0018556849122761197,0.8663906235858448,0.026292165120442707,0.026151657104492188
test,location2,r100y_p0.5_d3h,design,2245,2257,73397,1499467,0.030587081215853507,0.001505201514938308,0.9404922409918841,0.04666455586751302,0.04667218526204427
test,location2,r100y_p0.8_d3h,design,2037,2486,68290,1504574,0.029828671840679454,0.001652294935310593,0.936094156211145,0.04341761271158854,0.04370307922363281
test,location2,r200y_p0.5_d3h,design,2945,2041,80397,1492467,0.036630720051743226,0.0013675344245467403,0.9395181833620417,0.05111503601074219,0.05054028828938802
test,location2,r200y_p0.7_d3h,design,2422,1939,74769,1498095,0.03239310409394268,0.0012943104409266434,0.943148041925223,0.04753684997558594,0.047229766845703125
test,location2,r300y_p0.1_d3h,design,4972,902,73079,1499785,0.06803596108321132,0.0006014195368002748,0.9206012354523458,0.0464623769124349,0.04387474060058594
test,location2,r300y_p0.5_d3h,design,5129,1167,78866,1493998,0.06503436208251971,0.0007811255436754266,0.9213324503642247,0.05014165242513021,0.0476226806640625
test,location2,r300y_p0.6_d3h,design,2765,1446,73183,1499681,0.037781998551576185,0.0009642050542748758,0.943574213777486,0.04652849833170573,0.045689900716145836
test,location2,r300y_p0.8_d3h,design,3189,2340,79221,1493643,0.04025447797932367,0.0015666394178528605,0.9322102475447824,0.05036735534667969,0.04982757568359375
test,location2,r500y_p0.1_d3h,design,5733,626,76800,1496064,0.0746484375,0.0004184312970568104,0.9178699661612378,0.048828125,0.04558118184407552
test,location2,r500y_p0.3_d3h,design,3434,1050,80897,1491967,0.042449040137458746,0.0007037689171409288,0.9452817064688153,0.05143292744954427,0.04991722106933594
test,location3,G1135_intensity_103,measured,3898,3284,89172,1483692,0.04371327322477908,0.002213397389754747,0.9223198061780739,0.05669403076171875,0.05630366007486979
test,location3,G1135_intensity_161,measured,2830,2492,77194,1495670,0.03666088037930409,0.0016661429325987684,0.9332128604773737,0.04907862345377604,0.048863728841145836
test,location3,G1166_intensity_246,measured,3834,3225,66428,1506436,0.057716625519359306,0.002140814478676824,0.8986547600246938,0.042233784993489586,0.04184659322102865
test,location3,G1166_intensity_394,measured,6923,3839,135446,1437418,0.05111262052773799,0.002670761045151793,0.9227339627382705,0.08611424763997395,0.0841534932454427
