metric,n,phase10_mean,phase25_mean,delta_mean_phase25_minus_phase10,lower_is_better,phase25_improved
rmse,38,0.04399804454779475,0.04132273476698834,-0.0026753097808064116,True,True
mae,38,0.014229087641690999,0.013625617157029856,-0.0006034704846611459,True,True
relative_volume_bias,38,-0.07035941486968983,-0.0069793256939066775,0.06338008917578318,False,
wet_area_contraction,38,0.07491873530756538,0.025189234822944006,-0.04972950048462138,True,True
peak_depth_underprediction,38,0.2222720792419032,0.21203964007528206,-0.010232439166621157,True,True
false_dry_rate,38,0.14071472506112012,0.07232704171405731,-0.06838768334706281,True,True
false_wet_rate,38,0.01144868686949143,0.015616636223837518,0.004167949354346094,True,False
connectivity_loss_indicator,38,0.3157894736842105,0.3157894736842105,0.0,True,False
largest_component_ratio_change,38,-0.06807689293470465,-0.06023172938834289,0.007845163546361765,False,
