batch,sample_index,timestep,target_volume_proxy,phase25_prediction_volume_proxy,phase27_prediction_volume_proxy,phase25_volume_bias,phase27_volume_bias,delta_volume_bias,phase25_relative_volume_bias,phase27_relative_volume_bias,phase25_absolute_relative_volume_bias,phase27_absolute_relative_volume_bias,delta_absolute_relative_volume_bias,target_wet_count,phase25_predicted_wet_count,phase27_predicted_wet_count,phase25_overlap_wet_count,phase27_overlap_wet_count,phase25_overlap_volume_difference,phase27_overlap_volume_difference,delta_overlap_volume_difference,phase25_false_dry_count,phase27_false_dry_count,delta_false_dry_count,phase25_false_dry_volume_loss,phase27_false_dry_volume_loss,delta_false_dry_volume_loss,false_dry_volume_loss_decrease,phase25_false_wet_count,phase27_false_wet_count,delta_false_wet_count,phase25_false_wet_volume_excess,phase27_false_wet_volume_excess,delta_false_wet_volume_excess,already_wet_both_phase_count,already_wet_depth_amplification_sum,already_wet_depth_amplification_mean,dry_or_threshold_phase27_minus_phase25_predicted_volume,shallow_phase27_minus_phase25_predicted_volume,moderate_phase27_minus_phase25_predicted_volume,deep_phase27_minus_phase25_predicted_volume
test_batch_0000,0,0,969.057372589124,969.57069401443,1001.6177098378539,0.5133214253060032,32.560337248729866,32.04701582342386,0.0005297121097531226,0.03360000983402586,0.0005297121097531226,0.03360000983402586,0.03307029772427274,3265,3238,3289,2769,2796,-11.82757331803441,10.973750226199627,22.801323544234037,496,469,-27,48.06122651323676,45.07232089340687,-2.988905619829893,2.988905619829893,469,493,24,42.92517954856157,46.73182862251997,3.806649073958397,2730,24.15166211128235,0.008846762678125402,6.646759495139122,8.17565730214119,10.212929524481297,7.011669501662254
test_batch_0000,0,1,1064.583655907911,1039.0901678651571,1053.8648427650332,-25.493488042753825,-10.718813142877707,14.774674899876118,-0.023946909105054915,-0.010068549412151505,0.023946909105054915,0.010068549412151505,-0.01387835969290341,3337,3275,3300,2955,2970,-40.8265061751008,-28.59777294099331,12.228733234107494,382,367,-15,33.96133119240403,32.63110199943185,-1.3302291929721832,1.3302291929721832,320,330,10,26.859546326100826,29.353970997035503,2.494424670934677,2917,12.722831331193447,0.004361615128965871,1.5975585281848907,4.882876105606556,6.904957123100758,1.3892831429839134
test_batch_0000,0,2,1107.2891131704864,1086.5280445888638,1114.908241033554,-20.761068581622567,7.619127863067661,28.380196444690228,-0.01874945606769099,0.006880883928545008,0.01874945606769099,0.006880883928545008,-0.01186857213914598,3342,3301,3342,3031,3062,-42.607003662735224,-24.654162675142288,17.952840987592936,311,280,-31,26.386952996253967,23.18475804850459,-3.2021949477493763,3.2021949477493763,270,280,10,23.367588445544243,26.79559952020645,3.4280110746622086,2996,19.314352296292782,0.006446713049496923,7.985282972455025,6.039541564881802,10.002285555005074,4.353086352348328
test_batch_0000,0,3,1127.3174428809161,1203.3267072737217,1083.6544008553028,76.00926439280556,-43.66304202561332,-119.67230641841888,0.06742489870338564,-0.03873180735501634,0.06742489870338564,0.03873180735501634,-0.028693091348369296,3315,3403,3234,3105,3030,28.580565836280584,-56.79173985123634,-85.37230568751693,210,285,75,17.06334550306201,22.995537266135216,5.932191763073206,-5.932191763073206,298,204,-94,27.308745987713337,20.15572116523981,-7.153024822473526,3011,-86.7406569570303,-0.028807923267030987,-30.71298022568226,-16.272131346166134,-30.386749491095543,-42.30044535547495
test_batch_0000,0,4,1134.5730240651674,1018.6089413687587,936.6413598284125,-115.9640826964087,-197.93166423675484,-81.96758154034615,-0.10220944816836036,-0.1744547596659463,0.10220944816836036,0.1744547596659463,0.07224531149758595,3293,3106,3014,2969,2899,-114.58020105957985,-183.87581910938025,-69.2956180498004,324,394,70,25.775576550513506,31.88757936283946,6.112002812325954,-6.112002812325954,137,115,-22,11.851022325456142,10.147065632045269,-1.7039566934108734,2870,-71.12559947371483,-0.02478243884101562,-8.919894993305206,-11.00144924968481,-23.609501130878925,-38.4367361664772
test_batch_0000,0,5,1134.364568497157,1487.8782096132636,1360.0412223488092,353.51364111610656,225.6766538516522,-127.83698726445436,0.31164023536494323,0.1989454361666424,0.31164023536494323,0.1989454361666424,-0.11269479919830083,3234,3716,3515,3162,3140,194.00821276381612,106.80540406703949,-87.20280869677663,72,94,22,5.460634250193834,6.714301228523254,1.25366697832942,-1.25366697832942,554,375,-179,43.58550453186035,28.136105708777905,-15.449398823082447,3126,-87.07711986452341,-0.02785576451200365,-40.1723408177495,-19.735129468142986,-28.114228509366512,-39.815288469195366
test_batch_0000,0,6,1128.792211981074,859.8729427829385,937.1784863770008,-268.91926919813545,-191.61372560407312,77.30554359406233,-0.23823629038525304,-0.16975110527010412,0.23823629038525304,0.16975110527010412,-0.06848518511514892,3173,2871,3004,2814,2931,-246.60369620472193,-188.35869282111526,58.24500338360667,359,242,-117,29.04071218520403,17.518798422068357,-11.521913763135672,11.521913763135672,57,73,16,3.894909843802452,4.933761313557625,1.0388514697551727,2798,62.57265728712082,0.02236335142498957,11.288561835885048,13.76139772683382,26.68014020472765,25.57544382661581
test_batch_0000,0,7,1094.0261217521659,1128.9856177791953,934.3219270259142,34.959496027029445,-159.70419472625167,-194.66369075328112,0.031954900648111705,-0.14597841089065877,0.031954900648111705,0.14597841089065877,0.11402351024254706,3036,3165,2913,2950,2827,-5.143587481230497,-160.89368288964033,-155.75009540840983,86,209,123,5.853392977267504,15.089991979300976,9.236599002033472,-9.236599002033472,215,86,-129,15.20731134712696,5.894363664090633,-9.312947683036327,2818,-156.87693524360657,-0.05566960086714215,-34.22497368603945,-30.426206648349762,-54.99964141845703,-75.01286900043488
test_batch_0000,0,8,1048.6717403431967,1400.6576449424028,1399.5565610453486,351.98590459920615,350.88482070215196,-1.1010838970541954,0.3356492704609472,0.33459929089661394,0.3356492704609472,0.33459929089661394,-0.001049979564333281,2916,3479,3458,2903,2900,186.5237786769867,165.16740411892533,-21.35637455806136,13,16,3,0.7787155769765377,0.9744780734181404,0.1957624964416027,-0.1957624964416027,576,558,-18,41.85836844146252,39.20698195695877,-2.651386484503746,2894,-21.372934252023697,-0.0073852571707061845,20.36803464591503,-6.13121722638607,-8.760837398469448,-6.5770639181137085
test_batch_0000,0,9,1005.9027698431008,779.8030420169234,822.9264843985438,-226.0997278261774,-182.976285444557,43.12344238162041,-0.2247729448656791,-0.18190255651955026,0.2247729448656791,0.18190255651955026,-0.04287038834612883,2797,2682,2743,2596,2650,-220.64316461235285,-184.42703983187675,36.21612478047609,201,147,-54,15.915274627506733,10.752919174730778,-5.162355452775955,5.162355452775955,86,93,7,5.401501588523388,5.8483308255672455,0.4468292370438576,2568,38.092174634337425,0.01483340133735881,3.7035115882754326,6.1492933332920074,15.561263240873814,17.709374219179153
