rank_type,rank,timestep,paired_step_records,ranking_value,target_volume_proxy,phase25_volume_bias,phase27_volume_bias,delta_volume_bias,phase25_absolute_relative_volume_bias,phase27_absolute_relative_volume_bias,delta_absolute_relative_volume_bias,delta_overlap_volume_difference,delta_false_dry_volume_loss,false_dry_volume_loss_decrease,delta_false_wet_volume_excess,already_wet_depth_amplification_sum
largest_positive_delta_volume_bias,6,8,38,675.6470754146576,25068.525783557165,9316.62920273496,9992.276278149617,675.6470754146576,0.3716464734773467,0.39859848019877203,0.026952006721425337,-319.3167051076889,-2.494401089847088,2.494401089847088,-128.6015065535903,-320.7649658769369
largest_positive_delta_volume_bias,7,9,38,659.3776244968176,24142.464756337744,-4784.841968601388,-4125.46434410457,659.3776244968176,0.19819194174634958,0.17087999861412562,-0.02731194313222396,342.08127124235034,-97.59925632551312,97.59925632551312,-1.7709963619709015,386.1540053859353
largest_positive_delta_volume_bias,8,1,38,563.0172083601356,29238.194341670296,-3538.0633117291545,-2975.046103369019,563.0172083601356,0.12100826988097224,0.10175204626535303,-0.01925622361561921,333.5798378325999,-100.84778272733092,100.84778272733092,35.443231128156185,390.93573017418385
largest_positive_delta_volume_bias,9,5,38,551.61211822927,27830.59778598712,6466.090704418559,7017.702822647829,551.61211822927,0.23233747094265708,0.25215781840594476,0.019820347463287674,-329.7403101287782,-5.763810243457556,5.763810243457556,-68.39377357065678,-322.3201053664088
largest_positive_delta_volume_bias,10,7,38,-295.4932815656066,26091.298949076718,690.769256495947,395.27597493034045,-295.4932815656066,0.026475081131228654,0.015149723886948447,-0.011325357244280207,-553.6549593396485,45.691257286816835,-45.691257286816835,-39.464822828769684,-571.9440381601453
largest_positive_delta_volume_bias,11,11,38,-298.06599370390177,22501.429461706717,7827.359763014774,7529.293769310872,-298.06599370390177,0.34786055598536514,0.33461402006145174,-0.013246535923913394,-733.9631430543959,2.2799239940941334,-2.2799239940941334,-235.5438948124647,-731.3162873163819
largest_positive_delta_volume_bias,12,3,38,-5339.991415664554,29174.081128527287,1290.9031414493293,-4049.0882742152244,-5339.991415664554,0.04424828791564049,0.13879060171173327,0.09454231379609278,-3339.8903988823295,182.28595957159996,-182.28595957159996,-387.0589637681842,-3358.4243984147906
largest_already_wet_depth_amplification,1,2,38,1957.2898720055819,29023.28535250992,-3333.048847858314,126.0490880417783,3459.097935900092,0.11484050848744018,0.004343033068476434,-0.11049747541896375,1879.8754754550755,-206.63295452669263,206.63295452669263,211.394227899611,1957.2898720055819
largest_already_wet_depth_amplification,2,4,38,1875.5444803535938,28569.368627710224,-4264.735041787804,-1142.7978922482143,3121.93714953959,0.14927648900337684,0.04000081020830761,-0.10927567879506922,1803.9307105876505,-185.85636426880956,185.85636426880956,200.93581261485815,1875.5444803535938
largest_already_wet_depth_amplification,3,0,38,932.5789353847504,29455.34750664296,-5334.944100008033,-4049.0157376086936,1285.9283623993397,0.18111971345117767,0.13746284054858063,-0.04365687290259704,806.6337297745049,-231.73708084598184,231.73708084598184,77.74224451929331,932.5789353847504
largest_already_wet_depth_amplification,4,6,38,644.5797944441438,27102.056417483233,-5640.50533476039,-4651.001905347548,989.5034294128418,0.20812093546974403,0.17161066428698152,-0.03651027118276251,549.8332497663796,-181.77093260362744,181.77093260362744,43.599070109426975,644.5797944441438
largest_already_wet_depth_amplification,5,10,38,513.8906301483512,23289.322813637467,2258.6362988800684,3860.189361356286,1601.5530624762177,0.09698162187684928,0.1657493174982265,0.06876769562137722,508.72259544953704,-27.165317822247744,27.165317822247744,107.6485608741641,513.8906301483512
largest_already_wet_depth_amplification,6,1,38,390.93573017418385,29238.194341670296,-3538.0633117291545,-2975.046103369019,563.0172083601356,0.12100826988097224,0.10175204626535303,-0.01925622361561921,333.5798378325999,-100.84778272733092,100.84778272733092,35.443231128156185,390.93573017418385
largest_already_wet_depth_amplification,7,9,38,386.1540053859353,24142.464756337744,-4784.841968601388,-4125.46434410457,659.3776244968176,0.19819194174634958,0.17087999861412562,-0.02731194313222396,342.08127124235034,-97.59925632551312,97.59925632551312,-1.7709963619709015,386.1540053859353
largest_already_wet_depth_amplification,8,8,38,-320.7649658769369,25068.525783557165,9316.62920273496,9992.276278149617,675.6470754146576,0.3716464734773467,0.39859848019877203,0.026952006721425337,-319.3167051076889,-2.494401089847088,2.494401089847088,-128.6015065535903,-320.7649658769369
largest_already_wet_depth_amplification,9,5,38,-322.3201053664088,27830.59778598712,6466.090704418559,7017.702822647829,551.61211822927,0.23233747094265708,0.25215781840594476,0.019820347463287674,-329.7403101287782,-5.763810243457556,5.763810243457556,-68.39377357065678,-322.3201053664088
largest_already_wet_depth_amplification,10,7,38,-571.9440381601453,26091.298949076718,690.769256495947,395.27597493034045,-295.4932815656066,0.026475081131228654,0.015149723886948447,-0.011325357244280207,-553.6549593396485,45.691257286816835,-45.691257286816835,-39.464822828769684,-571.9440381601453
largest_already_wet_depth_amplification,11,11,38,-731.3162873163819,22501.429461706717,7827.359763014774,7529.293769310872,-298.06599370390177,0.34786055598536514,0.33461402006145174,-0.013246535923913394,-733.9631430543959,2.2799239940941334,-2.2799239940941334,-235.5438948124647,-731.3162873163819
largest_already_wet_depth_amplification,12,3,38,-3358.4243984147906,29174.081128527287,1290.9031414493293,-4049.0882742152244,-5339.991415664554,0.04424828791564049,0.13879060171173327,0.09454231379609278,-3339.8903988823295,182.28595957159996,-182.28595957159996,-387.0589637681842,-3358.4243984147906
largest_false_wet_volume_excess_increase,1,2,38,211.394227899611,29023.28535250992,-3333.048847858314,126.0490880417783,3459.097935900092,0.11484050848744018,0.004343033068476434,-0.11049747541896375,1879.8754754550755,-206.63295452669263,206.63295452669263,211.394227899611,1957.2898720055819
largest_false_wet_volume_excess_increase,2,4,38,200.93581261485815,28569.368627710224,-4264.735041787804,-1142.7978922482143,3121.93714953959,0.14927648900337684,0.04000081020830761,-0.10927567879506922,1803.9307105876505,-185.85636426880956,185.85636426880956,200.93581261485815,1875.5444803535938
largest_false_wet_volume_excess_increase,3,10,38,107.6485608741641,23289.322813637467,2258.6362988800684,3860.189361356286,1601.5530624762177,0.09698162187684928,0.1657493174982265,0.06876769562137722,508.72259544953704,-27.165317822247744,27.165317822247744,107.6485608741641,513.8906301483512
largest_false_wet_volume_excess_increase,4,0,38,77.74224451929331,29455.34750664296,-5334.944100008033,-4049.0157376086936,1285.9283623993397,0.18111971345117767,0.13746284054858063,-0.04365687290259704,806.6337297745049,-231.73708084598184,231.73708084598184,77.74224451929331,932.5789353847504
largest_false_wet_volume_excess_increase,5,6,38,43.599070109426975,27102.056417483233,-5640.50533476039,-4651.001905347548,989.5034294128418,0.20812093546974403,0.17161066428698152,-0.03651027118276251,549.8332497663796,-181.77093260362744,181.77093260362744,43.599070109426975,644.5797944441438
largest_false_wet_volume_excess_increase,6,1,38,35.443231128156185,29238.194341670296,-3538.0633117291545,-2975.046103369019,563.0172083601356,0.12100826988097224,0.10175204626535303,-0.01925622361561921,333.5798378325999,-100.84778272733092,100.84778272733092,35.443231128156185,390.93573017418385
largest_false_wet_volume_excess_increase,7,9,38,-1.7709963619709015,24142.464756337744,-4784.841968601388,-4125.46434410457,659.3776244968176,0.19819194174634958,0.17087999861412562,-0.02731194313222396,342.08127124235034,-97.59925632551312,97.59925632551312,-1.7709963619709015,386.1540053859353
largest_false_wet_volume_excess_increase,8,7,38,-39.464822828769684,26091.298949076718,690.769256495947,395.27597493034045,-295.4932815656066,0.026475081131228654,0.015149723886948447,-0.011325357244280207,-553.6549593396485,45.691257286816835,-45.691257286816835,-39.464822828769684,-571.9440381601453
largest_false_wet_volume_excess_increase,9,5,38,-68.39377357065678,27830.59778598712,6466.090704418559,7017.702822647829,551.61211822927,0.23233747094265708,0.25215781840594476,0.019820347463287674,-329.7403101287782,-5.763810243457556,5.763810243457556,-68.39377357065678,-322.3201053664088
largest_false_wet_volume_excess_increase,10,8,38,-128.6015065535903,25068.525783557165,9316.62920273496,9992.276278149617,675.6470754146576,0.3716464734773467,0.39859848019877203,0.026952006721425337,-319.3167051076889,-2.494401089847088,2.494401089847088,-128.6015065535903,-320.7649658769369
largest_false_wet_volume_excess_increase,11,11,38,-235.5438948124647,22501.429461706717,7827.359763014774,7529.293769310872,-298.06599370390177,0.34786055598536514,0.33461402006145174,-0.013246535923913394,-733.9631430543959,2.2799239940941334,-2.2799239940941334,-235.5438948124647,-731.3162873163819
largest_false_wet_volume_excess_increase,12,3,38,-387.0589637681842,29174.081128527287,1290.9031414493293,-4049.0882742152244,-5339.991415664554,0.04424828791564049,0.13879060171173327,0.09454231379609278,-3339.8903988823295,182.28595957159996,-182.28595957159996,-387.0589637681842,-3358.4243984147906
largest_false_dry_volume_loss_decrease,1,0,38,231.73708084598184,29455.34750664296,-5334.944100008033,-4049.0157376086936,1285.9283623993397,0.18111971345117767,0.13746284054858063,-0.04365687290259704,806.6337297745049,-231.73708084598184,231.73708084598184,77.74224451929331,932.5789353847504
largest_false_dry_volume_loss_decrease,2,2,38,206.63295452669263,29023.28535250992,-3333.048847858314,126.0490880417783,3459.097935900092,0.11484050848744018,0.004343033068476434,-0.11049747541896375,1879.8754754550755,-206.63295452669263,206.63295452669263,211.394227899611,1957.2898720055819
largest_false_dry_volume_loss_decrease,3,4,38,185.85636426880956,28569.368627710224,-4264.735041787804,-1142.7978922482143,3121.93714953959,0.14927648900337684,0.04000081020830761,-0.10927567879506922,1803.9307105876505,-185.85636426880956,185.85636426880956,200.93581261485815,1875.5444803535938
largest_false_dry_volume_loss_decrease,4,6,38,181.77093260362744,27102.056417483233,-5640.50533476039,-4651.001905347548,989.5034294128418,0.20812093546974403,0.17161066428698152,-0.03651027118276251,549.8332497663796,-181.77093260362744,181.77093260362744,43.599070109426975,644.5797944441438
largest_false_dry_volume_loss_decrease,5,1,38,100.84778272733092,29238.194341670296,-3538.0633117291545,-2975.046103369019,563.0172083601356,0.12100826988097224,0.10175204626535303,-0.01925622361561921,333.5798378325999,-100.84778272733092,100.84778272733092,35.443231128156185,390.93573017418385
largest_false_dry_volume_loss_decrease,6,9,38,97.59925632551312,24142.464756337744,-4784.841968601388,-4125.46434410457,659.3776244968176,0.19819194174634958,0.17087999861412562,-0.02731194313222396,342.08127124235034,-97.59925632551312,97.59925632551312,-1.7709963619709015,386.1540053859353
largest_false_dry_volume_loss_decrease,7,10,38,27.165317822247744,23289.322813637467,2258.6362988800684,3860.189361356286,1601.5530624762177,0.09698162187684928,0.1657493174982265,0.06876769562137722,508.72259544953704,-27.165317822247744,27.165317822247744,107.6485608741641,513.8906301483512
largest_false_dry_volume_loss_decrease,8,5,38,5.763810243457556,27830.59778598712,6466.090704418559,7017.702822647829,551.61211822927,0.23233747094265708,0.25215781840594476,0.019820347463287674,-329.7403101287782,-5.763810243457556,5.763810243457556,-68.39377357065678,-322.3201053664088
largest_false_dry_volume_loss_decrease,9,8,38,2.494401089847088,25068.525783557165,9316.62920273496,9992.276278149617,675.6470754146576,0.3716464734773467,0.39859848019877203,0.026952006721425337,-319.3167051076889,-2.494401089847088,2.494401089847088,-128.6015065535903,-320.7649658769369
largest_false_dry_volume_loss_decrease,10,11,38,-2.2799239940941334,22501.429461706717,7827.359763014774,7529.293769310872,-298.06599370390177,0.34786055598536514,0.33461402006145174,-0.013246535923913394,-733.9631430543959,2.2799239940941334,-2.2799239940941334,-235.5438948124647,-731.3162873163819
largest_false_dry_volume_loss_decrease,11,7,38,-45.691257286816835,26091.298949076718,690.769256495947,395.27597493034045,-295.4932815656066,0.026475081131228654,0.015149723886948447,-0.011325357244280207,-553.6549593396485,45.691257286816835,-45.691257286816835,-39.464822828769684,-571.9440381601453
largest_false_dry_volume_loss_decrease,12,3,38,-182.28595957159996,29174.081128527287,1290.9031414493293,-4049.0882742152244,-5339.991415664554,0.04424828791564049,0.13879060171173327,0.09454231379609278,-3339.8903988823295,182.28595957159996,-182.28595957159996,-387.0589637681842,-3358.4243984147906
