target_depth_bin,phase27_minus_phase25_predicted_volume_contribution,share_of_total_delta_volume_bias,mean_per_step_contribution
dry_or_threshold,5362.817127406597,0.7689593251676256,11.76056387589166
shallow,486.67758797854185,0.0697833360219694,1.0672754122336443
moderate,907.3301551416516,0.13009952926352383,1.9897591121527447
deep,217.29840476810932,0.031157809546881125,0.4765315894037485
