phase24_case_key,seed,run_name,run_root,maps_path,summary_path,batch_index,sample_index,split,location,event,start_idx,input_steps,pred_steps,alignment_mode,scenario_key,warning_level,risk_score,risk_category,phase23_case_role,phase23_selection_basis,prediction_key,target_key,wet_threshold,target_inundation_volume,predicted_inundation_volume,volume_bias,relative_volume_bias,target_wet_area,predicted_wet_area,wet_area_bias,wet_area_contraction,target_max_depth,predicted_max_depth,peak_depth_bias,peak_depth_underprediction,rmse,mae,mean_bias,false_dry_rate,false_wet_rate,target_wet_component_count,predicted_wet_component_count,target_largest_wet_component_area,predicted_largest_wet_component_area,target_largest_wet_component_area_ratio,predicted_largest_wet_component_area_ratio,wet_component_count_change,largest_component_ratio_change,fragmentation_indicator,connectivity_loss_indicator,temporal_volume_bias_std,temporal_peak_underprediction_max
seed123|batch5|sample0|location1|r300y_p0.8_d3h|6,seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0005\forecast_maps.npz,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0005\summary.json,5,0,test,location1,r300y_p0.8_d3h,6,12,12,mass_preserving,location1|r300y_p0.8_d3h|6,reliable,1.524861540874766,reliable,,,prediction,target,0.05,13556.542795578627,11759.198893904686,-1797.3439016739412,-0.13258128777936898,36028,33394,-2634,0.07310980348617742,2.071625232696533,2.5820722579956055,0.5104470252990723,0.0,0.07171130420903901,0.027260363188576057,-0.009141763822804481,0.14966137448651048,0.017175239755884916,100,126,1846,1674,0.4877146631439894,0.4550149497145964,26,-0.03269971342939304,1,0,402.34316200600404,0.35230112075805664
seed123|batch5|sample1|location1|r300y_p0.8_d3h|12,seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0005\forecast_maps.npz,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0005\summary.json,5,1,test,location1,r300y_p0.8_d3h,12,12,12,mass_preserving,location1|r300y_p0.8_d3h|12,reliable,0.6536856333414713,reliable,,,prediction,target,0.05,10801.853147690075,11599.747152298689,797.8940046086136,0.07386639993150058,29530,31262,1732,0.0,2.0355610847473145,2.4148635864257812,0.3793025016784668,0.0,0.05626686176297182,0.019665659752034215,0.0040582987701854095,0.06955638333897732,0.02266007493506027,111,81,1165,1154,0.40353307932109456,0.39669989687177726,-30,-0.006833182449317299,0,0,251.93608390733635,0.2157304286956787
seed123|batch6|sample0|location2|r100y_p0.5_d3h|0,seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0006\forecast_maps.npz,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0006\summary.json,6,0,test,location2,r100y_p0.5_d3h,0,12,12,mass_preserving,location2|r100y_p0.5_d3h|0,caution,4.875056307873177,caution,,,prediction,target,0.05,4337.159314481857,2873.270415663719,-1463.888898818138,-0.3375225101670084,14246,9114,-5132,0.36024147129018674,2.62091064453125,1.4583251476287842,-1.1625854969024658,1.1625854969024658,0.079586440459128,0.01672138365622639,-0.007445723972667122,0.4245402218166503,0.005022976277952644,105,60,1118,264,0.6169977924944813,0.2548262548262548,-45,-0.36217153766822646,0,1,230.52846465537044,2.431428402662277
seed123|batch6|sample1|location2|r100y_p0.5_d3h|6,seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0006\forecast_maps.npz,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0006\summary.json,6,1,test,location2,r100y_p0.5_d3h,6,12,12,mass_preserving,location2|r100y_p0.5_d3h|6,reliable,2.1906860995516206,reliable,,,prediction,target,0.05,2628.0219966627137,1995.2343492209911,-632.7876474417226,-0.24078476064709134,9461,7826,-1635,0.172814713032449,1.6813663244247437,1.162208080291748,-0.5191582441329956,0.5191582441329956,0.043253610828300836,0.009010502877592386,-0.003218524411222954,0.2789345735123137,0.0053647667341715334,93,50,346,196,0.30297723292469353,0.24841571609632446,-43,-0.05456151682836907,0,1,120.88687756768803,1.4140968322753906
seed123|batch7|sample0|location2|r100y_p0.5_d3h|12,seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0007\forecast_maps.npz,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0007\summary.json,7,0,test,location2,r100y_p0.5_d3h,12,12,12,mass_preserving,location2|r100y_p0.5_d3h|12,reliable,1.505871785693065,reliable,,,prediction,target,0.05,1681.9565989977436,1758.5030039548874,76.54640495714375,0.0455103330268788,6639,6367,-272,0.040970025606266,0.9571658968925476,1.1105873584747314,0.15342146158218384,0.0,0.030645056566076728,0.007208740628210669,0.0003893351489112536,0.2637445398403374,0.007785480788970832,83,51,156,126,0.2125340599455041,0.1861152141802068,-32,-0.026418845765297294,0,0,94.5703012901645,0.6957487165927887
seed123|batch7|sample1|location2|r200y_p0.5_d3h|0,seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0007\forecast_maps.npz,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0007\summary.json,7,1,test,location2,r200y_p0.5_d3h,0,12,12,mass_preserving,location2|r200y_p0.5_d3h|0,high-risk,5.706091864202834,high-risk,,,prediction,target,0.05,4879.997434176973,2741.2137589156628,-2138.7836752613102,-0.43827557372927656,15283,8459,-6824,0.4465091932212262,2.6825506687164307,1.3884646892547607,-1.29408597946167,1.29408597946167,0.08587353609555318,0.01834770126241836,-0.01087841631704361,0.47732774978734543,0.0025975458430994073,112,62,1160,253,0.6070120355834642,0.262448132780083,-50,-0.3445639028033812,0,1,231.52889357789184,2.502473771572113
seed123|batch8|sample0|location2|r200y_p0.5_d3h|6,seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0008\forecast_maps.npz,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0008\summary.json,8,0,test,location2,r200y_p0.5_d3h,6,12,12,mass_preserving,location2|r200y_p0.5_d3h|6,caution,2.6090016171739077,caution,,,prediction,target,0.05,3139.3635375449094,2134.9571803957224,-1004.406357149187,-0.31993948618472756,10394,8093,-2301,0.22137771791418126,1.7939974069595337,1.1890647411346436,-0.6049326658248901,0.6049326658248901,0.05069166302689453,0.010576471372156011,-0.005108674912257822,0.29026361362324415,0.003845038504086696,100,53,353,201,0.2891072891072891,0.2460220318237454,-47,-0.043085257283543704,0,0,124.26782671334179,1.5100566446781158
seed123|batch8|sample1|location2|r200y_p0.5_d3h|12,seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0008\forecast_maps.npz,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0008\summary.json,8,1,test,location2,r200y_p0.5_d3h,12,12,12,mass_preserving,location2|r200y_p0.5_d3h|12,reliable,1.5345347097721476,reliable,,,prediction,target,0.05,2069.1925962743544,1883.8817390799522,-185.31085719440216,-0.08955708498477141,7509,6760,-749,0.09974697030230391,1.1040637493133545,1.1500685214996338,0.0460047721862793,0.0,0.037754275398033006,0.008278366166474142,-0.0009425397603068118,0.26341723265414835,0.006499241138239758,84,56,200,129,0.24783147459727387,0.1786703601108033,-28,-0.06916111448647055,0,1,109.20024244224714,0.8268621861934662
seed123|batch9|sample0|location2|r300y_p0.6_d3h|0,seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0009\forecast_maps.npz,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0009\summary.json,9,0,test,location2,r300y_p0.6_d3h,0,12,12,mass_preserving,location2|r300y_p0.6_d3h|0,high-risk,8.063778048536216,high-risk,,,prediction,target,0.05,5664.12663361832,2702.5469026714563,-2961.5797309468635,-0.5228660873097335,17372,9683,-7689,0.44260879576329726,2.7899465560913086,1.4618170261383057,-1.328129529953003,1.328129529953003,0.10093450479467551,0.022313457255980246,-0.015063373468764574,0.484285056412618,0.004039367091432525,106,67,1777,345,0.6957713390759592,0.30183727034120733,-39,-0.3939340687347519,0,1,252.4190785901075,2.5834228694438934
seed123|batch9|sample1|location2|r300y_p0.6_d3h|6,seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0009\forecast_maps.npz,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0009\summary.json,9,1,test,location2,r300y_p0.6_d3h,6,12,12,mass_preserving,location2|r300y_p0.6_d3h|6,caution,3.8519024533100814,caution,caution,Selected as a representative caution-labeled case closest to the caution risk midpoint with stable tie-breaks.,prediction,target,0.05,3571.4163164201727,3062.4062546640635,-509.0100617561093,-0.14252330634651916,11187,10966,-221,0.019755072852417985,2.03947114944458,1.6559131145477295,-0.3835580348968506,0.3835580348968506,0.06256762973565155,0.014091391326733432,-0.00258895905434219,0.2462679896308215,0.013666197464149153,98,78,370,360,0.2742772424017791,0.270473328324568,-20,-0.00380391407721109,0,0,217.78045931441542,1.8214211165904999
