phase24_case_key,seed,run_name,run_root,maps_path,summary_path,batch_index,sample_index,split,location,event,start_idx,input_steps,pred_steps,alignment_mode,scenario_key,warning_level,risk_score,risk_category,phase23_case_role,phase23_selection_basis,prediction_key,target_key,wet_threshold,target_max_depth,predicted_max_depth,peak_depth_bias,peak_depth_underprediction,rmse,mae,false_dry_rate,false_wet_rate
seed123|batch5|sample0|location1|r300y_p0.8_d3h|6,seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0005\forecast_maps.npz,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0005\summary.json,5,0,test,location1,r300y_p0.8_d3h,6,12,12,mass_preserving,location1|r300y_p0.8_d3h|6,reliable,1.524861540874766,reliable,,,prediction,target,0.05,2.071625232696533,2.5820722579956055,0.5104470252990723,0.0,0.07171130420903901,0.027260363188576057,0.14966137448651048,0.017175239755884916
seed123|batch5|sample1|location1|r300y_p0.8_d3h|12,seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0005\forecast_maps.npz,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0005\summary.json,5,1,test,location1,r300y_p0.8_d3h,12,12,12,mass_preserving,location1|r300y_p0.8_d3h|12,reliable,0.6536856333414713,reliable,,,prediction,target,0.05,2.0355610847473145,2.4148635864257812,0.3793025016784668,0.0,0.05626686176297182,0.019665659752034215,0.06955638333897732,0.02266007493506027
seed123|batch6|sample0|location2|r100y_p0.5_d3h|0,seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0006\forecast_maps.npz,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0006\summary.json,6,0,test,location2,r100y_p0.5_d3h,0,12,12,mass_preserving,location2|r100y_p0.5_d3h|0,caution,4.875056307873177,caution,,,prediction,target,0.05,2.62091064453125,1.4583251476287842,-1.1625854969024658,1.1625854969024658,0.079586440459128,0.01672138365622639,0.4245402218166503,0.005022976277952644
seed123|batch6|sample1|location2|r100y_p0.5_d3h|6,seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0006\forecast_maps.npz,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0006\summary.json,6,1,test,location2,r100y_p0.5_d3h,6,12,12,mass_preserving,location2|r100y_p0.5_d3h|6,reliable,2.1906860995516206,reliable,,,prediction,target,0.05,1.6813663244247437,1.162208080291748,-0.5191582441329956,0.5191582441329956,0.043253610828300836,0.009010502877592386,0.2789345735123137,0.0053647667341715334
seed123|batch7|sample0|location2|r100y_p0.5_d3h|12,seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0007\forecast_maps.npz,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0007\summary.json,7,0,test,location2,r100y_p0.5_d3h,12,12,12,mass_preserving,location2|r100y_p0.5_d3h|12,reliable,1.505871785693065,reliable,,,prediction,target,0.05,0.9571658968925476,1.1105873584747314,0.15342146158218384,0.0,0.030645056566076728,0.007208740628210669,0.2637445398403374,0.007785480788970832
seed123|batch7|sample1|location2|r200y_p0.5_d3h|0,seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0007\forecast_maps.npz,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0007\summary.json,7,1,test,location2,r200y_p0.5_d3h,0,12,12,mass_preserving,location2|r200y_p0.5_d3h|0,high-risk,5.706091864202834,high-risk,,,prediction,target,0.05,2.6825506687164307,1.3884646892547607,-1.29408597946167,1.29408597946167,0.08587353609555318,0.01834770126241836,0.47732774978734543,0.0025975458430994073
seed123|batch8|sample0|location2|r200y_p0.5_d3h|6,seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0008\forecast_maps.npz,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0008\summary.json,8,0,test,location2,r200y_p0.5_d3h,6,12,12,mass_preserving,location2|r200y_p0.5_d3h|6,caution,2.6090016171739077,caution,,,prediction,target,0.05,1.7939974069595337,1.1890647411346436,-0.6049326658248901,0.6049326658248901,0.05069166302689453,0.010576471372156011,0.29026361362324415,0.003845038504086696
seed123|batch8|sample1|location2|r200y_p0.5_d3h|12,seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0008\forecast_maps.npz,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0008\summary.json,8,1,test,location2,r200y_p0.5_d3h,12,12,12,mass_preserving,location2|r200y_p0.5_d3h|12,reliable,1.5345347097721476,reliable,,,prediction,target,0.05,1.1040637493133545,1.1500685214996338,0.0460047721862793,0.0,0.037754275398033006,0.008278366166474142,0.26341723265414835,0.006499241138239758
seed123|batch9|sample0|location2|r300y_p0.6_d3h|0,seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0009\forecast_maps.npz,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0009\summary.json,9,0,test,location2,r300y_p0.6_d3h,0,12,12,mass_preserving,location2|r300y_p0.6_d3h|0,high-risk,8.063778048536216,high-risk,,,prediction,target,0.05,2.7899465560913086,1.4618170261383057,-1.328129529953003,1.328129529953003,0.10093450479467551,0.022313457255980246,0.484285056412618,0.004039367091432525
seed123|batch9|sample1|location2|r300y_p0.6_d3h|6,seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0009\forecast_maps.npz,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0009\summary.json,9,1,test,location2,r300y_p0.6_d3h,6,12,12,mass_preserving,location2|r300y_p0.6_d3h|6,caution,3.8519024533100814,caution,caution,Selected as a representative caution-labeled case closest to the caution risk midpoint with stable tie-breaks.,prediction,target,0.05,2.03947114944458,1.6559131145477295,-0.3835580348968506,0.3835580348968506,0.06256762973565155,0.014091391326733432,0.2462679896308215,0.013666197464149153
