metric,pearson_correlation_with_risk_score,mean_reliable,mean_caution,mean_high_risk,row_count
relative_volume_bias,-0.7843035446903674,-0.02439787109989103,-0.1057909228122356,-0.4189484082627729,152
wet_area_contraction,0.7933448572747885,0.03595877018989136,0.10517987750398948,0.33923536090862755,152
peak_depth_underprediction,0.8589937368800927,0.022246166030959327,0.24323980597888722,1.3631362564423506,152
false_dry_rate,0.8288112683148294,0.10806221534775305,0.222848068453231,0.40696813133448645,152
false_wet_rate,-0.5577986609067604,0.017409391584079892,0.010274626355387584,0.005610672796238642,152
wet_component_count_change,-0.18346277033245148,-0.6138613861386139,-16.147058823529413,-28.941176470588236,152
largest_component_ratio_change,-0.7188055323057415,-0.028715310873470696,-0.04232486264400931,-0.313861617656779,152
connectivity_loss_indicator,0.5095895392755974,0.21782178217821782,0.2647058823529412,1.0,152
rmse,0.5764793575588856,0.05046455463795592,0.0476977574293205,0.085115965817463,152
mae,-0.042360659606619194,0.018210765472003166,0.012726252551717979,0.018683632602511657,152
