seed,run_name,run_root,batch_index,sample_index,split,location,event,start_idx,input_steps,pred_steps,alignment_mode,count,rmse,mae,bias,wet_dry_iou,wet_dry_class_error_rate,pred_wet_fraction,target_wet_fraction,target_max_depth,target_mean_depth,prediction_max_depth,prediction_mean_depth,max_abs_error,source
seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,0,0,test,location1,r100y_p0.5_d3h,0,12,12,mass_preserving,196608,0.056567618668277114,0.026132623426365673,-0.004981372109111142,0.794711014176663,0.0421295166015625,0.17986043294270834,0.18845113118489584,1.9651845693588257,0.06462192879124672,2.4008681774139404,0.05964055668213556,0.7641212344169617,saved_evaluation_test_forecast_maps
seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,0,1,test,location1,r100y_p0.5_d3h,6,12,12,mass_preserving,196608,0.0474657264080249,0.021069055578788704,-0.003876682443472844,0.848583114227286,0.026362101236979168,0.16225687662760416,0.15958658854166666,1.9651845693588257,0.055994266460517604,2.3631551265716553,0.05211758401704477,0.7774874567985535,saved_evaluation_test_forecast_maps
seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,1,0,test,location1,r100y_p0.5_d3h,12,12,12,mass_preserving,196608,0.052590192189454,0.02166341987791966,0.0025849669377738718,0.808274239403941,0.029841105143229168,0.15009053548177084,0.13135782877604166,1.9066872596740723,0.04406281148419668,2.392242193222046,0.04664777842197054,0.8470571041107178,saved_evaluation_test_forecast_maps
seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,1,1,test,location1,r200y_p0.5_d3h,0,12,12,mass_preserving,196608,0.058699945200115095,0.027442327604722136,-0.010813762526014264,0.806915929312597,0.039845784505208336,0.17713419596354166,0.19574991861979166,2.024629592895508,0.07011556608141388,2.4239912033081055,0.0593018035553996,0.7896948158740997,saved_evaluation_test_forecast_maps
seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,2,0,test,location1,r200y_p0.5_d3h,6,12,12,mass_preserving,196608,0.05009919736202842,0.022166987772175534,-0.006909175785333844,0.8480387961774355,0.027094523111979168,0.16358439127604166,0.16591898600260416,2.024629592895508,0.06060645018801363,2.359013319015503,0.053697274402679795,0.8278408646583557,saved_evaluation_test_forecast_maps
seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,2,1,test,location1,r200y_p0.5_d3h,12,12,12,mass_preserving,196608,0.05234292219591997,0.022005224450626058,-0.0002977955883683237,0.822219365620079,0.02813720703125,0.1513214111328125,0.13707987467447916,1.9618059396743774,0.048055019879320454,2.382540225982666,0.04775722429095216,0.8200675249099731,saved_evaluation_test_forecast_maps
seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,3,0,test,location1,r300y_p0.6_d3h,0,12,12,mass_preserving,196608,0.0695899806641201,0.03287029748705733,-0.01754485621792259,0.7575106304307635,0.053370157877604164,0.178985595703125,0.20782979329427084,2.0679421424865723,0.07510425997843924,2.5091068744659424,0.05755940376051664,0.833319365978241,saved_evaluation_test_forecast_maps
seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,3,1,test,location1,r300y_p0.6_d3h,6,12,12,mass_preserving,196608,0.05690475695382353,0.02469999839337973,-0.009792544427311705,0.8396383403594408,0.029408772786458332,0.1628875732421875,0.1744842529296875,2.0679421424865723,0.0657528436261606,2.3786473274230957,0.055960299198848894,0.8597129583358765,saved_evaluation_test_forecast_maps
seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,4,0,test,location1,r300y_p0.6_d3h,12,12,12,mass_preserving,196608,0.05291721371497637,0.022217685385822666,-0.0035492817696328514,0.8284616825932172,0.0279388427734375,0.1537933349609375,0.144012451171875,2.012298345565796,0.052464857211746686,2.3591012954711914,0.048915575442113855,0.8631973564624786,saved_evaluation_test_forecast_maps
seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,4,1,test,location1,r300y_p0.8_d3h,0,12,12,mass_preserving,196608,0.06666115155713265,0.03073962048949276,-0.017095904049707105,0.7367536341682844,0.056554158528645836,0.17516072591145834,0.1979522705078125,2.071625232696533,0.06999075467857659,2.3723866939544678,0.052894850628869484,0.8146946728229523,saved_evaluation_test_forecast_maps
