phase,seed,run_name,run_dir,batch_file,batch_name,batch_index,sample_index,timestep,pixel_count,sum_sq_error,sum_abs_error,target_volume_proxy,prediction_volume_proxy,volume_bias,relative_volume_bias,absolute_relative_volume_bias,target_wet_area,prediction_wet_area,target_dry_area,false_dry_count,false_wet_count,false_dry_rate,false_dry_volume_loss,false_wet_rate,false_wet_volume_excess,wet_area_contraction,peak_depth_target,peak_depth_prediction,peak_depth_underprediction,rmse,mae
phase25,42,phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0000/forecast_maps.npz,test_batch_0000,0,0,10,16384,12.066032390791799,229.33811368161935,964.7847073506708,1022.0561362355947,57.27142888492392,0.0593618746737736,0.0593618746737736,2712,3026,13672,24,338,0.00884955752212389,1.5838911794126034,0.024722059684025743,22.200589895248413,0.0,1.938297152519226,2.0067856311798096,0.0,0.02713765229878109,0.0139976876026379
phase25,42,phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0000/forecast_maps.npz,test_batch_0000,0,0,11,16384,24.470944336707106,320.27500268811,925.8254474084623,1170.4838001206517,244.6583527121894,0.2642596975456098,0.2642596975456098,2631,3176,13753,3,548,0.001140250855188141,0.1757766306400299,0.03984585181414964,39.27042298018932,0.0,1.923309564590454,2.0811572074890137,0.0,0.03864696509657609,0.019548034832037965
phase25,42,phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0000/forecast_maps.npz,test_batch_0000,0,1,0,16384,27.74682127656943,339.42145956326135,1128.792211981074,950.4524504542351,-178.33976152683886,-0.15799166545793716,0.15799166545793716,3173,2932,13211,315,74,0.09927513394264101,25.859475921839476,0.0056013927787449845,5.315521761775017,0.0759533564450047,1.959228515625,1.902127742767334,0.057100772857666016,0.041152540286794444,0.020716641819046713
phase25,42,phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0000/forecast_maps.npz,test_batch_0000,0,1,1,16384,16.624901449711707,268.70279644301013,1094.0261217521659,1041.4964163079858,-52.52970544418008,-0.048015037666605004,0.048015037666605004,3036,3021,13348,144,129,0.047430830039525675,10.372622389346361,0.009664369193886723,8.968182697892189,0.004940711462450591,1.9651845693588257,2.014228582382202,0.0,0.03185441033238577,0.016400317165711067
phase25,42,phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0000/forecast_maps.npz,test_batch_0000,0,1,2,16384,17.890565610150816,278.4719764526077,1048.6717403431967,933.870840832591,-114.80089951060563,-0.10947267394946189,0.10947267394946189,2916,2831,13468,164,79,0.056241426611796964,11.849938414990902,0.005865755865755865,5.143259845674038,0.02914951989026062,1.9606894254684448,1.9526853561401367,0.008004069328308105,0.03304471920619741,0.01699658059403123
phase25,42,phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0000/forecast_maps.npz,test_batch_0000,0,1,3,16384,18.937046988088795,277.3917171552563,1005.9027698431008,1166.3564905747771,160.4537207316763,0.15951215718066217,0.15951215718066217,2797,3114,13587,21,338,0.007508044333214155,1.4669092372059822,0.024876720394494733,23.675561130046844,0.0,1.9513360261917114,2.1378703117370605,0.0,0.033997435518456263,0.016930646799026873
phase25,42,phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0000/forecast_maps.npz,test_batch_0000,0,1,4,16384,16.576778060171467,277.0387976057324,964.7847073506708,852.3484328463674,-112.43627450430347,-0.1165402743717372,0.1165402743717372,2712,2686,13672,117,91,0.043141592920353966,8.521407350897789,0.006655939145699239,5.778666593134403,0.009587020648967548,1.938297152519226,1.909619927406311,0.02867722511291504,0.03180827312232051,0.016909106299178002
phase25,42,phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0000/forecast_maps.npz,test_batch_0000,0,1,5,16384,18.82732013218197,277.15563706975684,925.8254474084623,1103.3417320251465,177.51628461668417,0.19173839422277844,0.19173839422277844,2631,3008,13753,13,390,0.004941087039148611,0.7785608246922493,0.028357449283792625,26.760209426283836,0.0,1.923309564590454,2.0740418434143066,0.0,0.03389879682284457,0.0169162376141209
phase25,42,phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0000/forecast_maps.npz,test_batch_0000,0,1,6,16384,15.958165724983187,274.0589817724132,889.3964001580915,792.9945168122649,-96.4018833458266,-0.1083902333410512,0.1083902333410512,2555,2587,13829,80,112,0.03131115459882582,5.704327493906021,0.008098922554053076,6.934828691184521,0.0,1.9066872596740723,1.864096760749817,0.04259049892425537,0.031209119476328442,0.01672723277419514
phase25,42,phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0000/forecast_maps.npz,test_batch_0000,0,1,7,16384,11.026117772656978,230.92586366321632,854.4429711810661,932.2287021949887,77.7857310139226,0.09103677323999992,0.09103677323999992,2474,2771,13910,16,313,0.006467259498787387,0.8986313194036484,0.022501797268152407,20.690444231033325,0.0,1.8880975246429443,1.9733463525772095,0.0,0.025941873893090696,0.014094596170850605
phase25,42,phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0000/forecast_maps.npz,test_batch_0000,0,1,8,16384,33.607318558654775,353.5745186576356,820.9881256428197,1102.4818997457623,281.49377410294267,0.3428719189848666,0.3428719189848666,2387,2945,13997,3,561,0.0012568077084206112,0.17627675086259842,0.040080017146531394,41.44653770327568,0.0,1.8682883977890015,2.090923547744751,0.0,0.04529048398252131,0.02158047599228733
phase25,42,phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0000/forecast_maps.npz,test_batch_0000,0,1,9,16384,12.386187824944368,249.39417904878894,789.1600180487147,751.2196898981929,-37.94032815052185,-0.0480768504267784,0.0480768504267784,2303,2452,14081,46,195,0.01997394702561875,3.2713845036923885,0.01384844826361764,12.697123125195503,0.0,1.847883939743042,1.8362395763397217,0.011644363403320312,0.027495325225160135,0.01522181268608331
phase25,42,phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0000/forecast_maps.npz,test_batch_0000,0,1,10,16384,12.633131649425145,243.58510729288048,758.3511734858247,853.2262595370412,94.8750860512165,0.12510706038089858,0.12510706038089858,2231,2610,14153,10,389,0.004482294935006722,0.5686491318047047,0.027485338797428104,26.663272961974144,0.0,1.8268535137176514,1.9187730550765991,0.0,0.027768060143796215,0.014867255083793975
phase25,42,phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0000/forecast_maps.npz,test_batch_0000,0,1,11,16384,23.49623224856005,307.8600918000644,728.5790530742587,942.1294211447239,213.5503680704652,0.2931052809841066,0.2931052809841066,2161,2731,14223,3,573,0.001388246182322998,0.17627675086259842,0.04028685931238135,42.63225954025984,0.0,1.805206060409546,1.9829230308532715,0.0,0.037869462718358594,0.018790288806156276
phase25,42,phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0001/forecast_maps.npz,test_batch_0001,1,0,0,16384,11.092253389614058,228.116096314047,889.3964001580915,887.4223306700587,-1.9740694880327965,-0.002219560915337526,0.002219560915337526,2555,2746,13829,33,224,0.01291585127201565,1.9960819333791733,0.01619784510810615,14.205272577703,0.0,1.9066872596740723,1.8485597372055054,0.058127522468566895,0.026019558389789903,0.013923101581667909
phase25,42,phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0001/forecast_maps.npz,test_batch_0001,1,0,1,16384,12.041726455781305,244.20450581328816,854.4429711810661,915.3653739690781,60.92240278801194,0.07130072438164128,0.07130072438164128,2474,2770,13910,15,311,0.006063055780113175,1.0078781992197037,0.02235801581595974,20.39637839794159,0.0,1.8880975246429443,1.9450745582580566,0.0,0.027110305342219417,0.014905060169268076
phase25,42,phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0001/forecast_maps.npz,test_batch_0001,1,0,2,16384,12.60526762953863,249.03172479794932,820.9881256428197,902.3267872780561,81.33866163523646,0.09907410240744904,0.09907410240744904,2387,2745,13997,12,370,0.005027230833682445,0.7047051228582859,0.026434235907694503,24.94619257003069,0.0,1.8682883977890015,1.9264699220657349,0.0,0.027737420199830363,0.015199690234249837
phase25,42,phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0001/forecast_maps.npz,test_batch_0001,1,0,3,16384,23.456620963343173,309.0516390416466,789.1600180487147,992.5814281702042,203.42141012148943,0.25776953402235336,0.25776953402235336,2303,2845,14081,6,548,0.002605297438124185,0.36408692598342896,0.03891769050493572,40.57414925843477,0.0,1.847883939743042,2.0287225246429443,0.0,0.03783752800586577,0.0188630150782255
phase25,42,phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0001/forecast_maps.npz,test_batch_0001,1,0,4,16384,11.798059594257541,246.01672987087989,758.3511734858247,841.2136670723557,82.86249358653106,0.10926665176193577,0.10926665176193577,2231,2568,14153,19,356,0.008516360376512771,1.3436624556779861,0.02515367766551261,24.00516175478697,0.0,1.8268535137176514,1.9115185737609863,0.0,0.02683461217872024,0.015015669547783196
phase25,42,phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0001/forecast_maps.npz,test_batch_0001,1,0,5,16384,57.45117025098944,448.4269055618621,728.5790530742587,1119.2628044560552,390.68375138179647,0.5362269883182826,0.5362269883182826,2161,2961,14223,3,803,0.001388246182322998,0.18847031146287918,0.056457849961330235,66.0323016345501,0.0,1.805206060409546,2.079258680343628,0.0,0.05921605485858115,0.027369806247672247
phase25,42,phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0001/forecast_maps.npz,test_batch_0001,1,0,6,16384,10.857778084853717,245.96411057502803,699.899308628307,685.1032283753157,-14.796080252991374,-0.02114029842662561,0.02114029842662561,2089,2297,14295,30,238,0.014360938247965527,2.2793844789266586,0.016649178034277717,15.603147879242897,0.0,1.7829416990280151,1.8043432235717773,0.0,0.025743080272898042,0.015012457920839113
phase25,42,phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0001/forecast_maps.npz,test_batch_0001,1,0,7,16384,21.977751177546683,297.46516608711056,672.5930852027458,842.0211214125156,169.42803620976986,0.25190273277742276,0.25190273277742276,2040,2497,14344,10,467,0.004901960784313724,0.6551434323191643,0.03255716675962074,34.95079508423805,0.0,1.760498285293579,1.958146095275879,0.0,0.03662533927686108,0.018155832891058994
phase25,42,phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0001/forecast_maps.npz,test_batch_0001,1,0,8,16384,71.21189937086714,476.93845522327194,646.8720032404652,1068.1737181395292,421.301714899064,0.6512906924222698,0.6512906924222698,1983,2775,14401,2,794,0.0010085728693898129,0.11264824867248535,0.05513506006527324,70.08120965212584,0.0,1.7385039329528809,2.0971333980560303,0.0,0.06592745562328454,0.029110013136186032
phase25,42,phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0001/forecast_maps.npz,test_batch_0001,1,0,9,16384,14.049091510885653,273.4848871570938,622.6074178776922,568.7928480654955,-53.81456981219674,-0.08643419314796572,0.08643419314796572,1925,2068,14459,62,205,0.03220779220779219,4.4385593347251415,0.01417802061000069,14.052814804017544,0.0,1.7164033651351929,1.7299611568450928,0.0,0.02928290449285136,0.016692192819646838
phase25,42,phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0001/forecast_maps.npz,test_batch_0001,1,0,10,16384,21.061981411890088,288.81991835732276,600.2889765665074,759.1454520151019,158.85647544859455,0.26463333769214104,0.26463333769214104,1855,2322,14529,6,473,0.0032345013477088932,0.44052237644791603,0.03255557849817606,38.96468598395586,0.0,1.694434642791748,1.9014805555343628,0.0,0.035854167490116225,0.017628168845051438
phase25,42,phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0001/forecast_maps.npz,test_batch_0001,1,0,11,16384,52.533857625671516,401.4906355050165,579.9227071784459,897.9419576227665,318.0192504443206,0.5483821318044433,0.5483821318044433,1823,2506,14561,4,687,0.002194185408667031,0.2325451262295246,0.04718082549275461,62.26182045787573,0.0,1.6701040267944336,2.0003676414489746,0.0,0.05662519058332709,0.02450504367096048
phase25,42,phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0001/forecast_maps.npz,test_batch_0001,1,1,0,16384,35.69573013077551,367.07773367957657,1134.7257240178521,984.5588824599981,-150.166841557854,-0.1323375670255726,0.1323375670255726,3466,3209,12918,462,205,0.1332948643969994,40.5333438180387,0.01586932961758786,16.519273966550827,0.07414887478361222,1.825322151184082,1.8338464498519897,0.0,0.046676487292744255,0.022404646831028843
phase25,42,phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0001/forecast_maps.npz,test_batch_0001,1,1,1,16384,32.381002007912755,345.9139324410164,1176.16627694055,1052.971532739699,-123.19474420085112,-0.10474262578017952,0.10474262578017952,3486,3248,12898,404,166,0.1158921399885255,34.02383041381836,0.012870212436036593,14.047829858958721,0.0682730923694779,1.877535343170166,1.9473872184753418,0.0,0.044456490157057146,0.02111291091558938
phase25,42,phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0001/forecast_maps.npz,test_batch_0001,1,1,2,16384,27.654269754846485,321.3381677611121,1198.2194828019703,1084.5400970429182,-113.67938575905214,-0.09487359151698907,0.09487359151698907,3481,3250,12903,364,133,0.1045676529732835,29.92384161055088,0.010307680384406725,9.538035340607166,0.06636024130996838,1.9183685779571533,1.9588614702224731,0.0,0.0410838493263071,0.01961292527838819
phase25,42,phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0001/forecast_maps.npz,test_batch_0001,1,1,3,16384,23.055871704053914,299.8852317830949,1209.4227285882837,1200.1575044095516,-9.265224178732069,-0.007660864939711386,0.007660864939711386,3441,3342,12943,259,160,0.07526881720430105,20.009695041924715,0.012361894460326043,10.807212807238102,0.028770706190061023,1.9533867835998535,2.074549674987793,0.0,0.0375129142021369,0.018303541978948665
phase25,42,phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0001/forecast_maps.npz,test_batch_0001,1,1,4,16384,35.83393886335914,386.11274417170836,1213.6516037893473,971.8639283329248,-241.78767545642245,-0.19922329826903867,0.19922329826903867,3387,3003,12997,429,45,0.12666076173604957,35.40698233991861,0.0034623374624913436,3.0219908580183983,0.11337466784765277,1.9815702438354492,1.9154030084609985,0.06616723537445068,0.04676676231660764,0.023566451670636496
phase25,42,phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0001/forecast_maps.npz,test_batch_0001,1,1,5,16384,33.066269435743685,392.2376300418326,1212.5965454783084,1466.0572155192494,253.46067004094107,0.20902308437713996,0.20902308437713996,3323,3656,13061,90,423,0.027083960276858252,6.808882702142,0.03238649414286807,29.079292379319668,0.0,2.00315260887146,2.1646060943603516,0.0,0.04492443568499459,0.023940285036732945
phase25,42,phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0001/forecast_maps.npz,test_batch_0001,1,1,6,16384,66.43741887277088,522.1319592055063,1208.9299469892856,828.0971667990088,-380.8327801902767,-0.3150164169054633,0.3150164169054633,3282,2785,13102,515,18,0.15691651432053622,43.99168275296688,0.0013738360555640358,1.0983664989471436,0.15143205362583786,2.020326614379883,1.8394631147384644,0.18086349964141846,0.06367902513187737,0.0318684057132267
phase25,42,phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0001/forecast_maps.npz,test_batch_0001,1,1,7,16384,19.377772513235712,270.8443904518197,1174.1786200211634,1091.2741624563932,-82.90445756477015,-0.0706063422984791,0.0706063422984791,3149,3068,13235,167,86,0.0530327087964433,11.645995404571295,0.006497922176048355,5.481251463294029,0.02572245157192759,2.024629592895508,2.059028148651123,0.0,0.03439077453507404,0.016531029690662825
phase25,42,phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0001/forecast_maps.npz,test_batch_0001,1,1,8,16384,31.402441753111543,377.9081867294929,1127.722654408162,1395.2675677463412,267.5449133381792,0.23724353881902702,0.23724353881902702,3025,3427,13359,29,431,0.00958677685950413,1.892386056482792,0.03226289392918631,28.75996832549572,0.0,2.0187196731567383,2.2278759479522705,0.0,0.04377959500763669,0.023065685225188776
phase25,42,phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0001/forecast_maps.npz,test_batch_0001,1,1,9,16384,53.786789116729764,442.2565068141823,1084.3862298264464,784.5205644592643,-299.86566536718215,-0.2765303146787236,0.2765303146787236,2905,2630,13479,313,38,0.10774526678141133,26.21081967651844,0.0028192002374063355,2.1899782866239548,0.09466437177280548,2.0084915161132812,1.8321802616119385,0.17631125450134277,0.057296466539616564,0.026993194995982805
phase25,42,phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0001/forecast_maps.npz,test_batch_0001,1,1,10,16384,14.703341805677898,241.48963951729576,1042.4921751555564,1026.70810649544,-15.784068660116418,-0.015140707082776109,0.015140707082776109,2814,2976,13570,57,219,0.020255863539445623,3.824127234518528,0.016138540899042004,13.36747346073389,0.0,1.9945495128631592,2.0180299282073975,0.0,0.029956981899161798,0.014739357880694321
phase25,42,phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0001/forecast_maps.npz,test_batch_0001,1,1,11,16384,17.519855167207457,274.8939825004821,1002.7892281176935,1168.8697229623795,166.08049484468597,0.16561854693675826,0.16561854693675826,2727,3128,13657,14,415,0.005133846718005132,0.8897613137960434,0.030387347147982715,27.26872368901968,0.0,1.9789199829101562,2.09013032913208,0.0,0.032700567236790816,0.01677819717410169
phase25,42,phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0002/forecast_maps.npz,test_batch_0002,2,0,0,16384,38.10454225509685,393.8010452236152,1208.9299469892856,950.7288238629699,-258.2011231263157,-0.21357823401541054,0.21357823401541054,3282,2930,13102,377,25,0.11486898232784884,30.86676997691393,0.0019081056327278276,1.5050786212086678,0.10725167580743446,2.020326614379883,1.9066227674484253,0.11370384693145752,0.04822568496532282,0.02403570832663667
phase25,42,phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0002/forecast_maps.npz,test_batch_0002,2,0,1,16384,21.98777385498905,293.30077393790344,1174.1786200211634,1053.2512034252286,-120.9274165959348,-0.10298894438544207,0.10298894438544207,3149,3029,13235,185,65,0.05874880914576054,13.616963535547256,0.004911220249338873,4.0311136320233345,0.038107335662114945,2.024629592895508,2.024977684020996,0.0,0.03663368958798611,0.017901658565545864
phase25,42,phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0002/forecast_maps.npz,test_batch_0002,2,0,2,16384,25.723499891157136,316.39423723996,1127.722654408162,953.3189408183098,-174.40371358985226,-0.1546512459496352,0.1546512459496352,3025,2844,13359,218,37,0.07206611570247931,16.017667457461357,0.0027696683883524213,2.1203197464346886,0.05983471074380164,2.0187196731567383,1.96516752243042,0.05355215072631836,0.0396237029460099,0.019311171706540526
