phase,seed,run_name,run_dir,step_count,pixel_count,sum_sq_error,sum_abs_error,sum_target_volume_proxy,sum_prediction_volume_proxy,volume_bias,aggregate_relative_volume_bias,aggregate_absolute_relative_volume_bias,mean_step_relative_volume_bias,mean_step_absolute_relative_volume_bias,sum_target_wet_area,sum_prediction_wet_area,sum_target_dry_area,sum_false_dry_count,sum_false_wet_count,false_dry_rate,false_wet_rate,false_dry_volume_loss,false_wet_volume_excess,wet_area_contraction,mean_step_wet_area_contraction,peak_depth_underprediction,rmse_from_maps,mae_from_maps,metrics_json_rmse,metrics_json_mae,metrics_json_wet_dry_iou,metrics_json_rollout_stability,metrics_json_step_rmse_std
phase25,42,phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e,456,7471104,15642.55145947188,134027.4523057802,321485.9729248464,322440.2226870954,954.2497622490046,0.0029682469613443413,0.0029682469613443413,0.03792784327929691,0.24017909346343827,867574,908604,6603530,65925,106955,0.075987754358706,0.01619664028178868,6219.331115406007,7934.395590290427,0.0,0.042322365124942626,0.13942117544642665,0.045757406947082385,0.017939444064194555,0.04474700261887751,0.01793944482740603,0.8038777207073412,0.989504199278982,0.010653742564548003
phase27,42,phase27_volume_response_seed42_40e,runs/phase27_volume_response_seed42_40e,456,7471104,14122.500159280225,129136.32118491853,321485.9729248464,329414.3459623903,7928.3730375439045,0.024661645313518284,0.024661645313518284,0.09816026446037503,0.25727435161304313,867574,912449,6603530,59791,104666,0.06891746410104499,0.01585000749599078,5409.72035580501,7750.3247795403,0.0,0.036059331027171126,0.12804519267458664,0.04347738381281512,0.017284770923402824,0.04238098134335719,0.01728477162358008,0.8128013736323306,0.9901222963082162,0.010022604690962717
phase29,42,phase29_tolerance_band_volume_seed42_40e,runs/phase29_tolerance_band_volume_seed42_40e,456,7471104,15367.479031352657,133331.13285625874,321485.9729248464,327743.3607125655,6257.387787719083,0.019463952752868222,0.019463952752868222,0.05675444004017884,0.23044686152902988,867574,915572,6603530,64191,112189,0.07398907758877052,0.01698924666049825,5964.833121955395,8289.765043199062,0.0,0.03835366432071754,0.13459338849050956,0.04535330322810035,0.017846242383489606,0.044385452117574845,0.017846242916819296,0.801640952888288,0.9895110600873044,0.010641243124968912
