comparison,region,metric,phase27,phase29,delta,lower_is_better,improved
phase29_minus_phase27,valid_domain,rmse,0.04608269532849565,0.04809843056698706,0.002015735238491412,True,False
phase29_minus_phase27,valid_domain,mae,0.018369260094597904,0.0190492177388352,0.0006799576442372973,True,False
phase29_minus_phase27,valid_domain,bias,-0.0022326362925103455,-0.0029417569195162242,-0.0007091206270058788,False,
phase29_minus_phase27,valid_domain,absolute_error_mean,0.018369260094597904,0.0190492177388352,0.0006799576442372973,True,False
phase29_minus_phase27,valid_domain,false_dry_rate,0.06891746410104499,0.07398907758877052,0.005071613487725529,True,False
phase29_minus_phase27,valid_domain,false_wet_rate,0.01819227508325394,0.019430814009387374,0.0012385389261334347,True,False
phase29_minus_phase27,valid_domain,false_dry_volume_loss_proxy,3575.3623331300914,4027.3792872279882,452.0169540978968,True,False
phase29_minus_phase27,valid_domain,false_wet_volume_excess_proxy,5263.665063625538,5690.269840603172,426.6047769776342,True,False
phase29_minus_phase27,valid_domain,peak_depth_underprediction,0.12804519267458664,0.13459338849050956,0.006548195815922919,True,False
phase29_minus_phase27,valid_domain,predicted_volume_proxy,326930.6332872361,325194.13230576366,-1736.5009814724326,False,
phase29_minus_phase27,valid_domain,target_volume_proxy,321485.9729248464,321485.9729248464,0.0,False,
phase29_minus_phase27,valid_domain,relative_volume_bias_proxy,0.016935918892058442,0.011534436004099367,-0.005401482887959075,False,
phase29_minus_phase27,valid_domain,absolute_relative_volume_bias_proxy,0.016935918892058442,0.011534436004099367,-0.005401482887959075,True,True
phase29_minus_phase27,interior,rmse,0.04722787830488515,0.04915287353700131,0.0019249952321161584,True,False
phase29_minus_phase27,interior,mae,0.018586455654512765,0.01924887710095215,0.0006624214464393853,True,False
phase29_minus_phase27,interior,bias,-0.0021945537472583434,-0.0029253966009431323,-0.0007308428536847889,False,
phase29_minus_phase27,interior,absolute_error_mean,0.018586455654512765,0.01924887710095215,0.0006624214464393853,True,False
phase29_minus_phase27,interior,false_dry_rate,0.06751201752706275,0.07153816885962186,0.004026151332559111,True,False
phase29_minus_phase27,interior,false_wet_rate,0.018421509636690706,0.019736544390351822,0.0013150347536611158,True,False
phase29_minus_phase27,interior,false_dry_volume_loss_proxy,3313.5813191197813,3677.63021652773,364.04889740794897,True,False
phase29_minus_phase27,interior,false_wet_volume_excess_proxy,4877.3200995858315,5282.5039549678295,405.183855381998,True,False
phase29_minus_phase27,interior,peak_depth_underprediction,0.12790981052737488,0.1342251004095663,0.006315289882191433,True,False
phase29_minus_phase27,interior,predicted_volume_proxy,306344.9253471494,304874.5347806215,-1470.3905665278435,False,
phase29_minus_phase27,interior,target_volume_proxy,301692.1363412207,301692.1363412207,0.0,False,
phase29_minus_phase27,interior,relative_volume_bias_proxy,0.01542230786110468,0.010548496483850889,-0.004873811377253791,False,
phase29_minus_phase27,interior,absolute_relative_volume_bias_proxy,0.01542230786110468,0.010548496483850889,-0.004873811377253791,True,True
phase29_minus_phase27,boundary_ring,rmse,0.032889336916333174,0.03624353464467959,0.003354197728346414,True,False
phase29_minus_phase27,boundary_ring,mae,0.016251514071047926,0.017102456854987264,0.0008509427839393374,True,False
phase29_minus_phase27,boundary_ring,bias,-0.0026039567688851653,-0.0031012767532354324,-0.0004973199843502671,False,
phase29_minus_phase27,boundary_ring,absolute_error_mean,0.016251514071047926,0.017102456854987264,0.0008509427839393374,True,False
phase29_minus_phase27,boundary_ring,false_dry_rate,0.08676498452599002,0.10511273921556244,0.01834775468957242,True,False
phase29_minus_phase27,boundary_ring,false_wet_rate,0.016035043786534278,0.016553712210000654,0.0005186684234663765,True,False
phase29_minus_phase27,boundary_ring,false_dry_volume_loss_proxy,261.7810140103102,349.749070700258,87.96805668994784,True,False
phase29_minus_phase27,boundary_ring,false_wet_volume_excess_proxy,386.3449640397066,407.7658856353428,21.420921595636173,True,False
phase29_minus_phase27,boundary_ring,peak_depth_underprediction,0.18855777039731803,0.2103678205360969,0.021810050138778875,True,False
phase29_minus_phase27,boundary_ring,predicted_volume_proxy,20585.707940086722,20319.597525142133,-266.11041494458914,False,
phase29_minus_phase27,boundary_ring,target_volume_proxy,19793.8365836263,19793.8365836263,0.0,False,
phase29_minus_phase27,boundary_ring,relative_volume_bias_proxy,0.04000595605176754,0.02656185117496367,-0.013444104876803867,False,
phase29_minus_phase27,boundary_ring,absolute_relative_volume_bias_proxy,0.04000595605176754,0.02656185117496367,-0.013444104876803867,True,True
phase29_minus_phase27,high_impervious_valid,rmse,0.052946195516427534,0.05482611041208855,0.001879914895661014,True,False
phase29_minus_phase27,high_impervious_valid,mae,0.02095377139405371,0.021703410100236267,0.0007496387061825573,True,False
phase29_minus_phase27,high_impervious_valid,bias,-0.003150210282961764,-0.0034312844434481373,-0.0002810741604863734,False,
phase29_minus_phase27,high_impervious_valid,absolute_error_mean,0.02095377139405371,0.021703410100236267,0.0007496387061825573,True,False
phase29_minus_phase27,high_impervious_valid,false_dry_rate,0.07017530444091839,0.07405226634040031,0.0038769618994819177,True,False
phase29_minus_phase27,high_impervious_valid,false_wet_rate,0.022204672256168283,0.0239893681940847,0.0017846959379164175,True,False
phase29_minus_phase27,high_impervious_valid,false_dry_volume_loss_proxy,2209.486143860966,2406.7153332419693,197.22918938100338,True,False
phase29_minus_phase27,high_impervious_valid,false_wet_volume_excess_proxy,3299.279559932278,3610.9053963982137,311.62583646593566,True,False
phase29_minus_phase27,high_impervious_valid,peak_depth_underprediction,0.13791113686666154,0.14513027249721058,0.007219135630549045,True,False
phase29_minus_phase27,high_impervious_valid,predicted_volume_proxy,194013.00609181076,194211.66126266867,198.65517085790634,False,
phase29_minus_phase27,high_impervious_valid,target_volume_proxy,194295.70180523806,194295.70180523806,0.0,False,
phase29_minus_phase27,high_impervious_valid,relative_volume_bias_proxy,-0.0014549766711291958,-0.0004325393808949619,0.001022437290234234,False,
phase29_minus_phase27,high_impervious_valid,absolute_relative_volume_bias_proxy,0.0014549766711291958,0.0004325393808949619,-0.001022437290234234,True,True
