phase,seed,run_name,run_dir,sample_frame_count,pixel_count,target_wet_count,prediction_wet_count,target_dry_count,false_dry_count,false_wet_count,sum_sq_error,sum_abs_error,sum_error,false_dry_volume_loss_proxy,false_wet_volume_excess_proxy,target_volume_proxy,predicted_volume_proxy,locations,rmse,mae,bias,absolute_error_mean,false_dry_rate,false_wet_rate,volume_bias_proxy,relative_volume_bias_proxy,absolute_relative_volume_bias_proxy,peak_depth_underprediction,batch_count,source_region
phase25,42,phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e,456,6588024,867574,907817,5720450,65925,106168,15510.651668861141,125959.56296652691,-25605.23026866062,4241.308930572122,5436.242057647734,321485.9729248464,320367.37162931263,"location1,location2,location3",0.048521859513332356,0.019119475424881103,-0.0038866328156455746,0.019119475424881103,0.075987754358706,0.01855937906982842,-1118.6012955337646,-0.003479471546944474,0.003479471546944474,0.13942117544642665,19,valid_domain
phase27,42,phase27_volume_response_seed42_40e,runs/phase27_volume_response_seed42_40e,456,6588024,867574,911851,5720450,59791,104068,13990.425326727642,121017.12636545325,-14708.661478329177,3575.3623331300914,5263.665063625538,321485.9729248464,326930.6332872361,"location1,location2,location3",0.04608269532849565,0.018369260094597904,-0.0022326362925103455,0.018369260094597904,0.06891746410104499,0.01819227508325394,5444.660362389695,0.016935918892058442,0.016935918892058442,0.12804519267458664,19,valid_domain
phase29,42,phase29_tolerance_band_volume_seed42_40e,runs/phase29_tolerance_band_volume_seed42_40e,456,6588024,867574,914536,5720450,64191,111153,15241.123566588478,125496.70364467203,-19380.365187938954,4027.3792872279882,5690.269840603172,321485.9729248464,325194.13230576366,"location1,location2,location3",0.04809843056698706,0.0190492177388352,-0.0029417569195162242,0.0190492177388352,0.07398907758877052,0.019430814009387374,3708.1593809172628,0.011534436004099367,0.011534436004099367,0.13459338849050956,19,valid_domain
