seed,batch_name,batch_index,sample_index,timestep,phase25_relative_volume_bias,phase27_relative_volume_bias,delta_relative_volume_bias,phase25_absolute_relative_volume_bias,phase27_absolute_relative_volume_bias,delta_absolute_relative_volume_bias,phase25_false_dry_rate,phase27_false_dry_rate,delta_false_dry_rate,phase25_false_wet_rate,phase27_false_wet_rate,delta_false_wet_rate,phase25_false_dry_volume_loss,phase27_false_dry_volume_loss,delta_false_dry_volume_loss,phase25_false_wet_volume_excess,phase27_false_wet_volume_excess,delta_false_wet_volume_excess,phase25_wet_area_contraction,phase27_wet_area_contraction,delta_wet_area_contraction,phase25_peak_depth_underprediction,phase27_peak_depth_underprediction,delta_peak_depth_underprediction,phase25_rmse,phase27_rmse,delta_rmse,phase25_mae,phase27_mae,delta_mae,phase25_aggregate_relative_volume_bias,phase27_aggregate_relative_volume_bias,delta_aggregate_relative_volume_bias,phase25_aggregate_absolute_relative_volume_bias,phase27_aggregate_absolute_relative_volume_bias,delta_aggregate_absolute_relative_volume_bias,phase25_mean_step_relative_volume_bias,phase27_mean_step_relative_volume_bias,delta_mean_step_relative_volume_bias,phase25_mean_step_absolute_relative_volume_bias,phase27_mean_step_absolute_relative_volume_bias,delta_mean_step_absolute_relative_volume_bias
42,test_batch_0000,0,0,0,0.0005297121097531226,0.03360000983402586,0.03307029772427274,0.0005297121097531226,0.03360000983402586,0.03307029772427274,0.15191424196018372,0.14364471669218987,-0.008269525267993849,0.03574967604238127,0.03757908377162893,0.0018294077292476535,48.06122651323676,45.07232089340687,-2.988905619829893,42.92517954856157,46.73182862251997,3.806649073958397,0.008269525267993872,0.0,-0.008269525267993872,0.0,0.0,0.0,0.04942047594990305,0.050115011737031104,0.0006945357871280533,0.024691665408713898,0.024879918460819522,0.0001882530521056247,,,,,,,,,,,,
42,test_batch_0000,0,0,1,-0.023946909105054915,-0.010068549412151505,0.01387835969290341,0.023946909105054915,0.010068549412151505,-0.01387835969290341,0.11447407851363497,0.10997902307461789,-0.004495055439017084,0.02452671112133057,0.02529317084387215,0.0007664597225415792,33.96133119240403,32.63110199943185,-1.3302291929721832,26.859546326100826,29.353970997035503,2.494424670934677,0.018579562481270597,0.011087803416242131,-0.007491759065028466,0.0,0.0,0.0,0.044172229054550774,0.04532755337954447,0.0011553243249936979,0.02174886580566714,0.02245407066826959,0.0007052048626024487,,,,,,,,,,,,
42,test_batch_0000,0,0,2,-0.01874945606769099,0.006880883928545008,0.025630339996236,0.01874945606769099,0.006880883928545008,-0.01186857213914598,0.0930580490724117,0.08378216636744462,-0.009275882704967084,0.020702346265910134,0.021469099831314214,0.0007667535654040797,26.386952996253967,23.18475804850459,-3.2021949477493763,23.367588445544243,26.79559952020645,3.4280110746622086,0.01226810293237582,0.0,-0.01226810293237582,0.0,0.0,0.0,0.04235150864236372,0.04288150646720142,0.0005299978248377024,0.020703375402438218,0.021031790022125796,0.0003284146196875781,,,,,,,,,,,,
42,test_batch_0000,0,0,3,0.06742489870338564,-0.03873180735501634,-0.10615670605840198,0.06742489870338564,0.03873180735501634,-0.028693091348369296,0.06334841628959274,0.085972850678733,0.02262443438914026,0.022802050654219908,0.015609457494835104,-0.0071925931593848046,17.06334550306201,22.995537266135216,5.932191763073206,27.308745987713337,20.15572116523981,-7.153024822473526,0.0,0.024434389140271486,0.024434389140271486,0.0,0.0,0.0,0.04324992631151956,0.04119872576169268,-0.0020512005498268815,0.02081273677814488,0.020774278685072534,-3.84580930723466e-05,,,,,,,,,,,,
42,test_batch_0000,0,0,4,-0.10220944816836036,-0.1744547596659463,-0.07224531149758595,0.10220944816836036,0.1744547596659463,0.07224531149758595,0.09839052535681747,0.11964773762526568,0.021257212268448206,0.01046520510274234,0.008784661217630432,-0.0016805438851119087,25.775576550513506,31.88757936283946,6.112002812325954,11.851022325456142,10.147065632045269,-1.7039566934108734,0.056787124202854526,0.08472517461281504,0.02793805040996051,0.0,0.032855987548828125,0.032855987548828125,0.041281073302172684,0.04619608735489717,0.004915014052724487,0.02058142435147714,0.02300164519103437,0.00242022083955723,,,,,,,,,,,,
42,test_batch_0000,0,0,5,0.31164023536494323,0.1989454361666424,-0.11269479919830083,0.31164023536494323,0.1989454361666424,-0.11269479919830083,0.0222634508348794,0.029066171923314774,0.006802721088435375,0.04212927756653992,0.028517110266159693,-0.013612167300380226,5.460634250193834,6.714301228523254,1.25366697832942,43.58550453186035,28.136105708777905,-15.449398823082447,0.0,0.0,0.0,0.0,0.0,0.0,0.05606390969244797,0.04277947561647109,-0.013284434075976882,0.02846498111906287,0.022030498588085867,-0.006434482530977004,,,,,,,,,,,,
42,test_batch_0000,0,0,6,-0.23823629038525304,-0.16975110527010412,0.06848518511514892,0.23823629038525304,0.16975110527010412,-0.06848518511514892,0.1131421367790734,0.07626851560037817,-0.03687362117869522,0.004314586329573839,0.005525698281734917,0.0012111119521610782,29.04071218520403,17.518798422068357,-11.521913763135672,3.894909843802452,4.933761313557625,1.0388514697551727,0.09517806492278598,0.05326189725811533,-0.04191616766467065,0.10226893424987793,0.017365574836730957,-0.08490335941314697,0.0508078443558986,0.04155354068501184,-0.009254303670886761,0.02578300063366669,0.020933042862400372,-0.004849957771266317,,,,,,,,,,,,
42,test_batch_0000,0,0,7,0.031954900648111705,-0.14597841089065877,-0.17793331153877048,0.031954900648111705,0.14597841089065877,0.11402351024254706,0.028326745718050057,0.0688405797101449,0.04051383399209484,0.016107281989811206,0.006442912795924482,-0.009664369193886725,5.853392977267504,15.089991979300976,9.236599002033472,15.20731134712696,5.894363664090633,-9.312947683036327,0.0,0.04051383399209485,0.04051383399209485,0.0,0.034070611000061035,0.034070611000061035,0.0329072911819259,0.03778226338074276,0.004874972198816857,0.016085570936927876,0.01915868991205298,0.0030731189751251053,,,,,,,,,,,,
42,test_batch_0000,0,0,8,0.3356492704609472,0.33459929089661394,-0.001049979564333281,0.3356492704609472,0.33459929089661394,-0.001049979564333281,0.004458161865569271,0.005486968449931411,0.0010288065843621396,0.04276804276804276,0.04143154143154142,-0.0013365013365013376,0.7787155769765377,0.9744780734181404,0.1957624964416027,41.85836844146252,39.20698195695877,-2.651386484503746,0.0,0.0,0.0,0.0,0.0,0.0,0.05200001661740315,0.047177035069618345,-0.004822981547784808,0.026091206205809826,0.025514995129543534,-0.000576211076266292,,,,,,,,,,,,
42,test_batch_0000,0,0,9,-0.2247729448656791,-0.18190255651955026,0.04287038834612883,0.2247729448656791,0.18190255651955026,-0.04287038834612883,0.07186271004647835,0.052556310332499086,-0.01930639971397926,0.006329579745344814,0.00684477809671009,0.000515198351365276,15.915274627506733,10.752919174730778,-5.162355452775955,5.401501588523388,5.8483308255672455,0.4468292370438576,0.04111548087236323,0.019306399713979256,-0.021809081158383977,0.12993788719177246,0.1195366382598877,-0.010401248931884766,0.04745631038332664,0.04137894660204417,-0.006077363781282472,0.023392596679719775,0.020508145441379667,-0.0028844512383401077,,,,,,,,,,,,
