phase,seed,run_name,run_dir,batch_file,batch_name,batch_index,sample_index,timestep,target_volume_proxy,prediction_volume_proxy,volume_bias,relative_volume_bias,absolute_relative_volume_bias,target_wet_area,prediction_wet_area,target_dry_area,wet_area_bias,wet_area_contraction,false_dry_count,false_wet_count,false_dry_rate,false_wet_rate,false_dry_volume_loss,false_wet_volume_excess,peak_depth_target,peak_depth_prediction,peak_depth_underprediction,rmse,mae
phase25,42,phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0000/forecast_maps.npz,test_batch_0000,0,0,0,969.057372589124,969.57069401443,0.5133214253060032,0.0005297121097531226,0.0005297121097531226,3265,3238,13119,-27,0.008269525267993872,496,469,0.15191424196018372,0.03574967604238127,48.06122651323676,42.92517954856157,1.7146224975585938,1.8136041164398193,0.0,0.04942047594990305,0.024691665408713898
phase25,42,phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0000/forecast_maps.npz,test_batch_0000,0,0,1,1064.583655907911,1039.0901678651571,-25.493488042753825,-0.023946909105054915,0.023946909105054915,3337,3275,13047,-62,0.018579562481270597,382,320,0.11447407851363497,0.02452671112133057,33.96133119240403,26.859546326100826,1.7945806980133057,1.9318097829818726,0.0,0.044172229054550774,0.02174886580566714
phase25,42,phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0000/forecast_maps.npz,test_batch_0000,0,0,2,1107.2891131704864,1086.5280445888638,-20.761068581622567,-0.01874945606769099,0.01874945606769099,3342,3301,13042,-41,0.01226810293237582,311,270,0.0930580490724117,0.020702346265910134,26.386952996253967,23.367588445544243,1.845705509185791,1.952934980392456,0.0,0.04235150864236372,0.020703375402438218
phase25,42,phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0000/forecast_maps.npz,test_batch_0000,0,0,3,1127.3174428809161,1203.3267072737217,76.00926439280556,0.06742489870338564,0.06742489870338564,3315,3403,13069,88,0.0,210,298,0.06334841628959274,0.022802050654219908,17.06334550306201,27.308745987713337,1.8857417106628418,2.0673983097076416,0.0,0.04324992631151956,0.02081273677814488
phase25,42,phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0000/forecast_maps.npz,test_batch_0000,0,0,4,1134.5730240651674,1018.6089413687587,-115.9640826964087,-0.10220944816836036,0.10220944816836036,3293,3106,13091,-187,0.056787124202854526,324,137,0.09839052535681747,0.01046520510274234,25.775576550513506,11.851022325456142,1.9156646728515625,1.9410284757614136,0.0,0.041281073302172684,0.02058142435147714
phase25,42,phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0000/forecast_maps.npz,test_batch_0000,0,0,5,1134.364568497157,1487.8782096132636,353.51364111610656,0.31164023536494323,0.31164023536494323,3234,3716,13150,482,0.0,72,554,0.0222634508348794,0.04212927756653992,5.460634250193834,43.58550453186035,1.9409137964248657,2.1677911281585693,0.0,0.05606390969244797,0.02846498111906287
phase25,42,phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0000/forecast_maps.npz,test_batch_0000,0,0,6,1128.792211981074,859.8729427829385,-268.91926919813545,-0.23823629038525304,0.23823629038525304,3173,2871,13211,-302,0.09517806492278598,359,57,0.1131421367790734,0.004314586329573839,29.04071218520403,3.894909843802452,1.959228515625,1.856959581375122,0.10226893424987793,0.0508078443558986,0.02578300063366669
phase25,42,phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0000/forecast_maps.npz,test_batch_0000,0,0,7,1094.0261217521659,1128.9856177791953,34.959496027029445,0.031954900648111705,0.031954900648111705,3036,3165,13348,129,0.0,86,215,0.028326745718050057,0.016107281989811206,5.853392977267504,15.20731134712696,1.9651845693588257,2.071958541870117,0.0,0.0329072911819259,0.016085570936927876
phase25,42,phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0000/forecast_maps.npz,test_batch_0000,0,0,8,1048.6717403431967,1400.6576449424028,351.98590459920615,0.3356492704609472,0.3356492704609472,2916,3479,13468,563,0.0,13,576,0.004458161865569271,0.04276804276804276,0.7787155769765377,41.85836844146252,1.9606894254684448,2.217378854751587,0.0,0.05200001661740315,0.026091206205809826
phase25,42,phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e/evaluation_test/test_batch_0000/forecast_maps.npz,test_batch_0000,0,0,9,1005.9027698431008,779.8030420169234,-226.0997278261774,-0.2247729448656791,0.2247729448656791,2797,2682,13587,-115,0.04111548087236323,201,86,0.07186271004647835,0.006329579745344814,15.915274627506733,5.401501588523388,1.9513360261917114,1.821398138999939,0.12993788719177246,0.04745631038332664,0.023392596679719775
