metric,pearson_correlation_with_risk_score,mean_reliable,mean_caution,mean_high_risk,row_count
relative_volume_bias,-0.8526906158911631,-0.04026499675168386,-0.14522530725970015,-0.4477686663782936,114
wet_area_contraction,0.8624112648973145,0.04612263912108449,0.1353094455874771,0.38344186341449,114
peak_depth_underprediction,0.856380378841932,0.023646269973955657,0.2411422872543335,1.3807678039257343,114
false_dry_rate,0.9131401810498943,0.12450025371177731,0.26760057740159093,0.4442675015677491,114
false_wet_rate,-0.5777041662611806,0.015826690622361188,0.008990026790513443,0.00498136172269505,114
wet_component_count_change,-0.30576532561398123,-5.105263157894737,-30.2,-41.69230769230769,114
largest_component_ratio_change,-0.7051112549872351,-0.027851462681615303,-0.03986060970295974,-0.3082906283934204,114
connectivity_loss_indicator,0.5387294313588952,0.19736842105263158,0.24,1.0,114
rmse,0.5846174863119274,0.04992645432901056,0.047162310780016696,0.08564396807912814,114
mae,-0.028112515403207736,0.018062247430249333,0.012372935597127897,0.018645080165105733,114
