batch_index,sample_index,forecast_step,adaptive_alpha_scale,future_rainfall,location,event,start_idx
3,0,5,1.0149012,2.9867995,location2,r500y_p0.9_d3h,0
3,0,6,1.0151986,3.0543435,location2,r500y_p0.9_d3h,0
3,0,7,1.0157946,3.1894317,location2,r500y_p0.9_d3h,0
3,0,8,1.0157946,3.1894317,location2,r500y_p0.9_d3h,0
3,0,9,1.016517,3.3527832,location2,r500y_p0.9_d3h,0
3,0,10,1.0168788,3.4344592,location2,r500y_p0.9_d3h,0
3,0,11,1.0168788,3.4344592,location2,r500y_p0.9_d3h,0
3,1,0,1.0151986,3.0543435,location2,r500y_p0.9_d3h,6
3,1,1,1.0157946,3.1894317,location2,r500y_p0.9_d3h,6
3,1,2,1.0157946,3.1894317,location2,r500y_p0.9_d3h,6
3,1,3,1.016517,3.3527832,location2,r500y_p0.9_d3h,6
3,1,4,1.0168788,3.4344592,location2,r500y_p0.9_d3h,6
3,1,5,1.0168788,3.4344592,location2,r500y_p0.9_d3h,6
3,1,6,1.0182271,3.7382197,location2,r500y_p0.9_d3h,6
3,1,7,1.0182271,3.7382197,location2,r500y_p0.9_d3h,6
3,1,8,1.0188034,3.8678403,location2,r500y_p0.9_d3h,6
3,1,9,1.0199573,4.1270819,location2,r500y_p0.9_d3h,6
3,1,10,1.0199573,4.1270819,location2,r500y_p0.9_d3h,6
3,1,11,1.0215003,4.4735165,location2,r500y_p0.9_d3h,6
4,0,0,1.0182271,3.7382197,location2,r500y_p0.9_d3h,12
4,0,1,1.0182271,3.7382197,location2,r500y_p0.9_d3h,12
4,0,2,1.0188034,3.8678403,location2,r500y_p0.9_d3h,12
4,0,3,1.0199573,4.1270819,location2,r500y_p0.9_d3h,12
4,0,4,1.0199573,4.1270819,location2,r500y_p0.9_d3h,12
4,0,5,1.0215003,4.4735165,location2,r500y_p0.9_d3h,12
4,0,6,1.0222719,4.6467342,location2,r500y_p0.9_d3h,12
4,0,7,1.0222719,4.6467342,location2,r500y_p0.9_d3h,12
4,0,8,1.0255498,5.384284,location2,r500y_p0.9_d3h,12
4,0,9,1.0255498,5.384284,location2,r500y_p0.9_d3h,12
4,0,10,1.0272382,5.7662373,location2,r500y_p0.9_d3h,12
4,0,11,1.0305837,6.5301447,location2,r500y_p0.9_d3h,12
4,1,0,1.0222719,4.6467342,location2,r500y_p0.9_d3h,18
4,1,1,1.0222719,4.6467342,location2,r500y_p0.9_d3h,18
4,1,2,1.0255498,5.384284,location2,r500y_p0.9_d3h,18
4,1,3,1.0255498,5.384284,location2,r500y_p0.9_d3h,18
4,1,4,1.0272382,5.7662373,location2,r500y_p0.9_d3h,18
4,1,5,1.0305837,6.5301447,location2,r500y_p0.9_d3h,18
4,1,6,1.0305837,6.5301447,location2,r500y_p0.9_d3h,18
4,1,7,1.0364679,7.9099998,location2,r500y_p0.9_d3h,18
4,1,8,1.0393102,8.5999279,location2,r500y_p0.9_d3h,18
4,1,9,1.0393102,8.5999279,location2,r500y_p0.9_d3h,18
4,1,10,1.0576326,13.675709,location2,r500y_p0.9_d3h,18
4,1,11,1.0576326,13.675709,location2,r500y_p0.9_d3h,18
5,0,0,1.0305837,6.5301447,location2,r500y_p0.9_d3h,24
5,0,1,1.0364679,7.9099998,location2,r500y_p0.9_d3h,24
5,0,2,1.0393102,8.5999279,location2,r500y_p0.9_d3h,24
5,0,3,1.0393102,8.5999279,location2,r500y_p0.9_d3h,24
5,0,4,1.0576326,13.675709,location2,r500y_p0.9_d3h,24
5,0,5,1.0576326,13.675709,location2,r500y_p0.9_d3h,24
5,0,6,1.0546451,12.749792,location2,r500y_p0.9_d3h,24
5,0,7,1.0481926,10.89796,location2,r500y_p0.9_d3h,24
5,0,8,1.0481926,10.89796,location2,r500y_p0.9_d3h,24
5,0,9,1.0260594,5.4993801,location2,r500y_p0.9_d3h,24
5,0,10,1.014081,2.8000908,location2,r500y_p0.9_d3h,24
5,0,11,1.014081,2.8000908,location2,r500y_p0.9_d3h,24
5,1,0,1.0207427,4.3034163,location3,r100y_p0.6_d3h,0
5,1,1,1.0207427,4.3034163,location3,r100y_p0.6_d3h,0
5,1,2,1.0241574,5.0705156,location3,r100y_p0.6_d3h,0
5,1,3,1.0241574,5.0705156,location3,r100y_p0.6_d3h,0
5,1,4,1.0298194,6.3545952,location3,r100y_p0.6_d3h,0
5,1,5,1.0298194,6.3545952,location3,r100y_p0.6_d3h,0
5,1,6,1.0412037,9.0702724,location3,r100y_p0.6_d3h,0
5,1,7,1.0412037,9.0702724,location3,r100y_p0.6_d3h,0
5,1,8,1.0698987,18.133945,location3,r100y_p0.6_d3h,0
5,1,9,1.0698987,18.133945,location3,r100y_p0.6_d3h,0
5,1,10,1.0483872,10.951224,location3,r100y_p0.6_d3h,0
5,1,11,1.0483872,10.951224,location3,r100y_p0.6_d3h,0
6,0,0,1.0412037,9.0702724,location3,r100y_p0.6_d3h,6
6,0,1,1.0412037,9.0702724,location3,r100y_p0.6_d3h,6
6,0,2,1.0698987,18.133945,location3,r100y_p0.6_d3h,6
6,0,3,1.0698987,18.133945,location3,r100y_p0.6_d3h,6
6,0,4,1.0483872,10.951224,location3,r100y_p0.6_d3h,6
6,0,5,1.0483872,10.951224,location3,r100y_p0.6_d3h,6
6,0,6,1.0284569,6.0432544,location3,r100y_p0.6_d3h,6
6,0,7,1.0284569,6.0432544,location3,r100y_p0.6_d3h,6
6,0,8,1.0216061,4.4972405,location3,r100y_p0.6_d3h,6
6,0,9,1.0216061,4.4972405,location3,r100y_p0.6_d3h,6
6,0,10,1.0180429,3.6967909,location3,r100y_p0.6_d3h,6
6,0,11,1.0180429,3.6967909,location3,r100y_p0.6_d3h,6
6,1,0,1.0284569,6.0432544,location3,r100y_p0.6_d3h,12
6,1,1,1.0284569,6.0432544,location3,r100y_p0.6_d3h,12
6,1,2,1.0216061,4.4972405,location3,r100y_p0.6_d3h,12
6,1,3,1.0216061,4.4972405,location3,r100y_p0.6_d3h,12
6,1,4,1.0180429,3.6967909,location3,r100y_p0.6_d3h,12
6,1,5,1.0180429,3.6967909,location3,r100y_p0.6_d3h,12
6,1,6,1.0158151,3.1940897,location3,r100y_p0.6_d3h,12
6,1,7,1.0158151,3.1940897,location3,r100y_p0.6_d3h,12
6,1,8,1.0142707,2.8433318,location3,r100y_p0.6_d3h,12
6,1,9,1.0142707,2.8433318,location3,r100y_p0.6_d3h,12
6,1,10,1.013127,2.5817549,location3,r100y_p0.6_d3h,12
6,1,11,1.013127,2.5817549,location3,r100y_p0.6_d3h,12
7,0,0,1.0187271,3.8506665,location3,r100y_p0.7_d3h,0
7,0,1,1.0187271,3.8506665,location3,r100y_p0.7_d3h,0
7,0,2,1.0207508,4.3052382,location3,r100y_p0.7_d3h,0
7,0,3,1.0207508,4.3052382,location3,r100y_p0.7_d3h,0
7,0,4,1.0235784,4.9402881,location3,r100y_p0.7_d3h,0
7,0,5,1.0235784,4.9402881,location3,r100y_p0.7_d3h,0
7,0,6,1.0278518,5.9055462,location3,r100y_p0.7_d3h,0
7,0,7,1.0278518,5.9055462,location3,r100y_p0.7_d3h,0
7,0,8,1.0351349,7.5922737,location3,r100y_p0.7_d3h,0
7,0,9,1.0351349,7.5922737,location3,r100y_p0.7_d3h,0
7,0,10,1.0503035,11.483912,location3,r100y_p0.7_d3h,0
7,0,11,1.0503035,11.483912,location3,r100y_p0.7_d3h,0
7,1,0,1.0278518,5.9055462,location3,r100y_p0.7_d3h,6
7,1,1,1.0278518,5.9055462,location3,r100y_p0.7_d3h,6
7,1,2,1.0351349,7.5922737,location3,r100y_p0.7_d3h,6
7,1,3,1.0351349,7.5922737,location3,r100y_p0.7_d3h,6
7,1,4,1.0503035,11.483912,location3,r100y_p0.7_d3h,6
7,1,5,1.0503035,11.483912,location3,r100y_p0.7_d3h,6
7,1,6,1.0703911,18.342342,location3,r100y_p0.7_d3h,6
7,1,7,1.0703911,18.342342,location3,r100y_p0.7_d3h,6
7,1,8,1.0338533,7.2898741,location3,r100y_p0.7_d3h,6
7,1,9,1.0338533,7.2898741,location3,r100y_p0.7_d3h,6
7,1,10,1.0219409,4.5724316,location3,r100y_p0.7_d3h,6
7,1,11,1.0219409,4.5724316,location3,r100y_p0.7_d3h,6
