batch_index,sample_index,forecast_step,adaptive_alpha_scale,future_rainfall,location,event,start_idx
0,0,0,0.97911811,11.760489,location1,r200y_p0.3_d3h,0
0,0,1,0.97911811,11.760489,location1,r200y_p0.3_d3h,0
0,0,2,0.98550737,7.9693975,location1,r200y_p0.3_d3h,0
0,0,3,0.98550737,7.9693975,location1,r200y_p0.3_d3h,0
0,0,4,0.98847085,6.2593451,location1,r200y_p0.3_d3h,0
0,0,5,0.98847085,6.2593451,location1,r200y_p0.3_d3h,0
0,0,6,0.99023604,5.2630334,location1,r200y_p0.3_d3h,0
0,0,7,0.99023604,5.2630334,location1,r200y_p0.3_d3h,0
0,0,8,0.99142736,4.6007953,location1,r200y_p0.3_d3h,0
0,0,9,0.99142736,4.6007953,location1,r200y_p0.3_d3h,0
0,0,10,0.99229282,4.1236053,location1,r200y_p0.3_d3h,0
0,0,11,0.99229282,4.1236053,location1,r200y_p0.3_d3h,0
0,1,0,0.99023604,5.2630334,location1,r200y_p0.3_d3h,6
0,1,1,0.99023604,5.2630334,location1,r200y_p0.3_d3h,6
0,1,2,0.99142736,4.6007953,location1,r200y_p0.3_d3h,6
0,1,3,0.99142736,4.6007953,location1,r200y_p0.3_d3h,6
0,1,4,0.99229282,4.1236053,location1,r200y_p0.3_d3h,6
0,1,5,0.99229282,4.1236053,location1,r200y_p0.3_d3h,6
0,1,6,0.99295306,3.7604964,location1,r200y_p0.3_d3h,6
0,1,7,0.99295306,3.7604964,location1,r200y_p0.3_d3h,6
0,1,8,0.99347472,3.4731441,location1,r200y_p0.3_d3h,6
0,1,9,0.99347472,3.4731441,location1,r200y_p0.3_d3h,6
0,1,10,0.99389815,3.2389257,location1,r200y_p0.3_d3h,6
0,1,11,0.99389815,3.2389257,location1,r200y_p0.3_d3h,6
1,0,0,0.99295306,3.7604964,location1,r200y_p0.3_d3h,12
1,0,1,0.99295306,3.7604964,location1,r200y_p0.3_d3h,12
1,0,2,0.99347472,3.4731441,location1,r200y_p0.3_d3h,12
1,0,3,0.99347472,3.4731441,location1,r200y_p0.3_d3h,12
1,0,4,0.99389815,3.2389257,location1,r200y_p0.3_d3h,12
1,0,5,0.99389815,3.2389257,location1,r200y_p0.3_d3h,12
1,0,6,0.99424922,3.04357,location1,r200y_p0.3_d3h,12
1,0,7,0.99424922,3.04357,location1,r200y_p0.3_d3h,12
1,0,8,0.99454534,2.8775966,location1,r200y_p0.3_d3h,12
1,0,9,0.99454534,2.8775966,location1,r200y_p0.3_d3h,12
1,0,10,0.99479872,2.7344434,location1,r200y_p0.3_d3h,12
1,0,11,0.99479872,2.7344434,location1,r200y_p0.3_d3h,12
1,1,0,0.99291611,3.7808027,location1,r300y_p0.9_d3h,0
1,1,1,0.99291611,3.7808027,location1,r300y_p0.9_d3h,0
1,1,2,0.9924497,4.037302,location1,r300y_p0.9_d3h,0
1,1,3,0.9924497,4.037302,location1,r300y_p0.9_d3h,0
1,1,4,0.99188626,4.3474674,location1,r300y_p0.9_d3h,0
1,1,5,0.99188626,4.3474674,location1,r300y_p0.9_d3h,0
1,1,6,0.99119031,4.7319784,location1,r300y_p0.9_d3h,0
1,1,7,0.99119031,4.7319784,location1,r300y_p0.9_d3h,0
1,1,8,0.99030548,5.2242155,location1,r300y_p0.9_d3h,0
1,1,9,0.99030548,5.2242155,location1,r300y_p0.9_d3h,0
1,1,10,0.98913556,5.8820105,location1,r300y_p0.9_d3h,0
1,1,11,0.98913556,5.8820105,location1,r300y_p0.9_d3h,0
2,0,0,0.99119031,4.7319784,location1,r300y_p0.9_d3h,6
2,0,1,0.99119031,4.7319784,location1,r300y_p0.9_d3h,6
2,0,2,0.99030548,5.2242155,location1,r300y_p0.9_d3h,6
2,0,3,0.99030548,5.2242155,location1,r300y_p0.9_d3h,6
2,0,4,0.98913556,5.8820105,location1,r300y_p0.9_d3h,6
2,0,5,0.98913556,5.8820105,location1,r300y_p0.9_d3h,6
2,0,6,0.9874987,6.815629,location1,r300y_p0.9_d3h,6
2,0,7,0.9874987,6.815629,location1,r300y_p0.9_d3h,6
2,0,8,0.98499972,8.2661028,location1,r300y_p0.9_d3h,6
2,0,9,0.98499972,8.2661028,location1,r300y_p0.9_d3h,6
