batch,forecast_step,model,tp,fp,fn,tn,iou,precision,recall,prediction_wet_area_ratio,target_wet_area_ratio,mean_abs_error,fp_on_target_boundary_ratio,fn_on_target_boundary_ratio,fp_near_threshold_target_ratio,fn_near_threshold_target_ratio
val_batch_0000,9,static_af025,5155,554,858,26201,0.784986,0.902960,0.857309,0.174225,0.183502,0.025443,0.925993,0.935897,0.102888,0.101399
val_batch_0000,9,adapt010,5189,820,824,25935,0.759403,0.863538,0.862964,0.183380,0.183502,0.027131,0.864634,0.930825,0.075610,0.093447
val_batch_0000,10,static_af025,5195,890,588,26095,0.778510,0.853739,0.898323,0.185699,0.176483,0.025850,0.883146,0.957483,0.089888,0.103741
val_batch_0000,10,adapt010,5179,1134,604,25851,0.748735,0.820371,0.895556,0.192657,0.176483,0.027373,0.821869,0.955298,0.081129,0.092715
val_batch_0001,9,static_af025,4882,1324,529,26033,0.724870,0.786658,0.902236,0.189392,0.165131,0.029919,0.767372,0.960302,0.078550,0.100189
val_batch_0001,9,adapt010,5120,3268,291,24089,0.589930,0.610396,0.946221,0.255981,0.165131,0.039379,0.549266,0.975945,0.044982,0.127148
val_batch_0001,10,static_af025,4858,1734,377,25799,0.697087,0.736954,0.927985,0.201172,0.159760,0.032623,0.752595,0.968170,0.069204,0.137931
val_batch_0001,10,adapt010,4048,318,1187,27215,0.728975,0.927164,0.773257,0.133240,0.159760,0.027347,0.757862,0.945240,0.132075,0.098568
