threshold_id,metric_group,metric_name,region,observed_value,direction,numeric_threshold,status,required_for_pilot_acceptance,evidence
AT08,standard,rmse,all_evaluated_cells,0.04456830142359985,lower_or_equal,0.0432286009702,fail,yes,runs/phase36_manhole_false_dry_guardrail_seed42_40e/evaluation_test/metrics.json
AT09,standard,mae,all_evaluated_cells,0.01795931400633172,lower_or_equal,0.0176304670561,fail,yes,runs/phase36_manhole_false_dry_guardrail_seed42_40e/evaluation_test/metrics.json
AT10,standard,wet_dry_iou,all_evaluated_cells,0.8068740587485465,higher_or_equal,0.807801373632,fail,yes,runs/phase36_manhole_false_dry_guardrail_seed42_40e/evaluation_test/metrics.json
AT11,standard,rollout_stability,all_evaluated_cells,0.9899644569346779,higher_or_equal,0.989122296308,pass,yes,runs/phase36_manhole_false_dry_guardrail_seed42_40e/evaluation_test/metrics.json
AT12,standard,step_rmse_std,all_evaluated_cells,0.01018835528214511,lower_or_equal,0.0105237349255,pass,yes,runs/phase36_manhole_false_dry_guardrail_seed42_40e/evaluation_test/metrics.json
