seed,run_name,run_root,batch_index,sample_index,split,location,event,start_idx,input_steps,pred_steps,alignment_mode,scenario_key,phase13_failure_case,phase12_top_failure_scenario,mean_confidence_margin,median_confidence_margin,p10_confidence_margin,low_margin_fraction_lt_0_01,low_margin_fraction_lt_0_02,false_dry_mean_margin,false_wet_mean_margin,mismatch_mean_margin,target_max_depth,target_mean_depth,prediction_max_depth,prediction_mean_depth,cell_count,rmse,mae,wet_dry_class_error_rate,false_dry_rate,false_wet_rate,false_dry_cell_fraction,false_wet_cell_fraction,pred_wet_fraction,target_wet_fraction,min_confidence_margin,max_confidence_margin
seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,0,0,test,location1,r100y_p0.5_d3h,0,12,12,mass_preserving,location1|r100y_p0.5_d3h|0,False,False,0.08602418413922806,0.049919682741165164,0.025070908665657046,0.030466715494791668,0.0704498291015625,0.02356296900915325,0.02376489770441371,0.023643345552467714,1.9651845693588257,0.06462192879124672,2.4008681774139404,0.05964055668213556,196608,0.056567618668277114,0.026132623426365673,0.0421295166015625,0.13457126663247956,0.02066346196030259,0.025360107421875,0.0167694091796875,0.17986043294270834,0.18845113118489584,2.3275613784817795e-06,2.3508681774139406
seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,0,1,test,location1,r100y_p0.5_d3h,6,12,12,mass_preserving,location1|r100y_p0.5_d3h|6,False,False,0.0854589714758125,0.051935631036758426,0.030312719941139224,0.025217692057291668,0.0550537109375,0.01541414508726424,0.022338407863122065,0.019226965068413808,1.9651845693588257,0.055994266460517604,2.3631551265716553,0.05211758401704477,196608,0.0474657264080249,0.021069055578788704,0.026362101236979168,0.07422870984191739,0.01727268325748039,0.011845906575520834,0.014516194661458334,0.16225687662760416,0.15958658854166666,6.3449144363375565e-06,2.3131551265716555
seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,1,0,test,location1,r100y_p0.5_d3h,12,12,12,mass_preserving,location1|r100y_p0.5_d3h|12,False,False,0.08050465503640682,0.051865707337856296,0.027883812785148624,0.027740478515625,0.061284383138020836,0.013283028235256455,0.03168549799170169,0.028260323801478717,1.9066872596740723,0.04406281148419668,2.392242193222046,0.04664777842197054,196608,0.052590192189454,0.02166341987791966,0.029841105143229168,0.042282970649732826,0.027959621037345856,0.00555419921875,0.024286905924479168,0.15009053548177084,0.13135782877604166,2.044439315798674e-06,2.342242193222046
seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,1,1,test,location1,r200y_p0.5_d3h,0,12,12,mass_preserving,location1|r200y_p0.5_d3h|0,False,False,0.08656947330338578,0.05022204220294953,0.025512911379337314,0.029307047526041668,0.0683441162109375,0.022255437146617534,0.017514749101948158,0.02099250429632075,2.024629592895508,0.07011556608141388,2.4239912033081055,0.0593018035553996,196608,0.058699945200115095,0.027442327604722136,0.039845784505208336,0.14932702801018552,0.013198669381869695,0.029230753580729168,0.010615030924479166,0.17713419596354166,0.19574991861979166,8.16583633420076e-07,2.3739912033081056
seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,2,0,test,location1,r200y_p0.5_d3h,6,12,12,mass_preserving,location1|r200y_p0.5_d3h|6,False,False,0.0859305165250665,0.05136727094650269,0.02966239154338837,0.026285807291666668,0.056447347005208336,0.016460138193637164,0.01894729048283059,0.017596561822677298,2.024629592895508,0.06060645018801363,2.359013319015503,0.053697274402679795,196608,0.05009919736202842,0.022166987772175534,0.027094523111979168,0.08868520278348303,0.014842639965363108,0.014714558919270834,0.012379964192708334,0.16358439127604166,0.16591898600260416,1.8060207366971115e-06,2.309013319015503
seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,2,1,test,location1,r200y_p0.5_d3h,12,12,12,mass_preserving,location1|r200y_p0.5_d3h|12,False,False,0.08134345068194762,0.05183931738138199,0.027764591574668887,0.027231852213541668,0.0611572265625,0.01430767449723505,0.02863626531466119,0.02509814979466768,1.9618059396743774,0.048055019879320454,2.382540225982666,0.04775722429095216,196608,0.05234292219591997,0.022005224450626058,0.02813720703125,0.05068457571147638,0.024555426537071857,0.006947835286458333,0.021189371744791668,0.1513214111328125,0.13707987467447916,2.0742416381863693e-06,2.332540225982666
seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,3,0,test,location1,r300y_p0.6_d3h,0,12,12,mass_preserving,location1|r300y_p0.6_d3h|0,False,False,0.0857012618343333,0.051480147242546084,0.02406611114740372,0.032318115234375,0.07554117838541667,0.02569736898354716,0.019446152922079702,0.024261013134486066,2.0679421424865723,0.07510425997843924,2.5091068744659424,0.05755940376051664,196608,0.0695899806641201,0.03287029748705733,0.053370157877604164,0.19779251609113824,0.015480233969193628,0.041107177734375,0.012262980143229166,0.178985595703125,0.20782979329427084,2.056360244723221e-07,2.4591068744659426
seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,3,1,test,location1,r300y_p0.6_d3h,6,12,12,mass_preserving,location1|r300y_p0.6_d3h|6,False,False,0.08691223613050929,0.050524699687957766,0.028727348148822787,0.026926676432291668,0.058990478515625,0.01945231998973731,0.01633504866055936,0.018508296797521712,2.0679421424865723,0.0657528436261606,2.3786473274230957,0.055960299198848894,196608,0.05690475695382353,0.02469999839337973,0.029408772786458332,0.1175047369188165,0.01078846355273778,0.020502726236979168,0.008906046549479166,0.1628875732421875,0.1744842529296875,6.911158561703767e-06,2.328647327423096
seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,4,0,test,location1,r300y_p0.6_d3h,12,12,12,mass_preserving,location1|r300y_p0.6_d3h|12,False,False,0.08370871631884712,0.05258591026067734,0.029396414756774906,0.025889078776041668,0.056910196940104164,0.017289560724373286,0.02621580734447111,0.023315142822921027,2.012298345565796,0.052464857211746686,2.3591012954711914,0.048915575442113855,196608,0.05291721371497637,0.022217685385822666,0.0279388427734375,0.06304301758847214,0.022032871047096152,0.0090789794921875,0.01885986328125,0.1537933349609375,0.144012451171875,2.723932266232576e-06,2.3091012954711916
seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,4,1,test,location1,r300y_p0.8_d3h,0,12,12,mass_preserving,location1|r300y_p0.8_d3h|0,False,False,0.08277243360888255,0.05133602321147919,0.02747922092676163,0.028025309244791668,0.06283060709635417,0.026607368460450413,0.039043736520679856,0.030319600279130294,2.071625232696533,0.06999075467857659,2.3723866939544678,0.052894850628869484,196608,0.06666115155713265,0.03073962048949276,0.056554158528645836,0.2004162491328143,0.021047758562740583,0.0396728515625,0.016881306966145832,0.17516072591145834,0.1979522705078125,2.5629997253695525e-07,2.322386693954468
