scenario_key,location,event,start_idx,matched_seed_count,matched_seeds,mean_prediction_std,max_prediction_std,p95_prediction_std,wet_dry_disagreement_rate,mean_seed_rmse,max_seed_rmse,target_max_depth,target_mean_depth,cell_count,rmse,mae,wet_dry_class_error_rate,false_dry_rate,false_wet_rate,false_dry_cell_fraction,false_wet_cell_fraction,pred_wet_fraction,target_wet_fraction,mean_confidence_margin,min_confidence_margin,max_confidence_margin
location1|r100y_p0.5_d3h|0,location1,r100y_p0.5_d3h,0,3,seed123;seed202;seed42,0.015411592448824023,0.3317148813772686,0.05963184521250137,0.049957275390625,0.051590758547538224,0.056567618668277114,1.9651845693588257,0.06462192879124672,196608,0.04400611099772432,0.01953724459999877,0.0332489013671875,0.11073925130225905,0.015254736551827873,0.020868937174479168,0.012379964192708334,0.179962158203125,0.18845113118489584,0.08610009121104871,9.804964065524002e-07,2.0862734635670983
location1|r100y_p0.5_d3h|12,location1,r100y_p0.5_d3h,12,3,seed123;seed202;seed42,0.013108306156309847,0.29406748440094405,0.048554404932744766,0.038853963216145836,0.04583465731294168,0.052590192189454,1.9066872596740723,0.04406281148419668,196608,0.039242002759984705,0.016782758131464143,0.025075276692708332,0.02389065283048091,0.025254417912894803,0.0031382242838541665,0.021937052408854168,0.15015665690104166,0.13135782877604166,0.08006617028868278,1.3232231140108963e-06,2.038512659072876
location1|r100y_p0.5_d3h|6,location1,r100y_p0.5_d3h,6,3,seed123;seed202;seed42,0.01355606439298626,0.3232405089215088,0.05025240937963619,0.0417327880859375,0.042746726583639004,0.0474657264080249,1.9651845693588257,0.055994266460517604,196608,0.034623563711551404,0.015420873691636867,0.020055135091145832,0.06715323814380418,0.011111649075239663,0.010716756184895834,0.00933837890625,0.15820821126302084,0.15958658854166666,0.08300029067194527,2.2848447168988262e-08,1.9826720476150512
location1|r200y_p0.5_d3h|0,location1,r200y_p0.5_d3h,0,3,seed123;seed202;seed42,0.015242178503804604,0.3312028524711608,0.05921733147906507,0.048044840494791664,0.05424708685156399,0.058699945200115095,2.024629592895508,0.07011556608141388,196608,0.04723170593556726,0.020862972977620877,0.0309906005859375,0.12656550433924024,0.007728209863270133,0.024775187174479168,0.006215413411458333,0.17719014485677084,0.19574991861979166,0.08661541151003449,4.813075065585037e-07,2.0998313744862878
location1|r200y_p0.5_d3h|12,location1,r200y_p0.5_d3h,12,3,seed123;seed202;seed42,0.013279991844509014,0.3007231897532217,0.0502212989623224,0.0382537841796875,0.04571432795055428,0.05234292219591997,1.9618059396743774,0.048055019879320454,196608,0.03891711153400043,0.01657296167841568,0.02288818359375,0.03187265778635301,0.021460947676783155,0.004369099934895833,0.018519083658854168,0.1512298583984375,0.13707987467447916,0.0812227844615058,1.4945864677401444e-06,2.0394697507222497
location1|r200y_p0.5_d3h|6,location1,r200y_p0.5_d3h,6,3,seed123;seed202;seed42,0.01360035545347143,0.3124139426139252,0.04974346404022125,0.042195638020833336,0.04606824166354393,0.05009919736202842,2.024629592895508,0.06060645018801363,196608,0.038898128985066976,0.016702074081685826,0.0197906494140625,0.07810919346433279,0.00818967357168556,0.012959798177083334,0.006830851236979167,0.1597900390625,0.16591898600260416,0.08370992633240602,9.343028068570236e-07,1.9926432291666665
location1|r300y_p0.6_d3h|0,location1,r300y_p0.6_d3h,0,3,seed123;seed202;seed42,0.016189311505529474,0.351175769476844,0.06127123715517532,0.056772867838541664,0.06456445107712978,0.0695899806641201,2.0679421424865723,0.07510425997843924,196608,0.057649162814402334,0.02613490205921012,0.042287190755208336,0.16573260566310175,0.009900672244088169,0.034444173177083336,0.007843017578125,0.1812286376953125,0.20782979329427084,0.0859859983382143,3.506739934336367e-07,2.16535070737203
location1|r300y_p0.6_d3h|12,location1,r300y_p0.6_d3h,12,3,seed123;seed202;seed42,0.013786135071711747,0.3017303423805857,0.05308686219336311,0.038935343424479164,0.04558972601094174,0.05291721371497637,2.012298345565796,0.052464857211746686,196608,0.0381221017911158,0.015953820784110825,0.020487467447916668,0.04471286289468108,0.01641175561814444,0.006439208984375,0.014048258463541666,0.15162150065104166,0.144012451171875,0.0823662554059562,6.206830342615766e-06,2.00620551109314
location1|r300y_p0.6_d3h|6,location1,r300y_p0.6_d3h,6,3,seed123;seed202;seed42,0.013067527374438637,0.2820104467472266,0.047942402730735016,0.038350423177083336,0.05093997492130129,0.05690475695382353,2.0679421424865723,0.0657528436261606,196608,0.045784657469585745,0.019029276981778535,0.022084554036458332,0.0910362920857018,0.007510643672636982,0.0158843994140625,0.006200154622395833,0.16480000813802084,0.1744842529296875,0.08703178465589444,1.2338161468478104e-06,2.0663088083267214
location1|r300y_p0.8_d3h|0,location1,r300y_p0.8_d3h,0,3,seed123;seed202;seed42,0.01428113903592286,0.28855667021386117,0.052577805590945235,0.048512776692708336,0.06292618562372482,0.067654514902182,2.071625232696533,0.06999075467857659,196608,0.05783886392669362,0.02610167711582639,0.049494425455729164,0.16827256609882063,0.02017895985135298,0.0333099365234375,0.016184488932291668,0.18082682291666666,0.1979522705078125,0.0835649314876567,1.4623006184891207e-06,2.1283057848612468
