row,col,observation_count,low_margin_count,false_dry_count,deep_underprediction_count,boundary_count,high_risk_case_count,low_margin_fraction,false_dry_fraction,deep_underprediction_fraction,boundary_fraction,high_risk_case_fraction
0,0,1368,337,0,0,0,32,0.2463450292397661,0.0,0.0,0.0,0.023391812865497075
0,1,1368,14,0,0,432,0,0.01023391812865497,0.0,0.0,0.3157894736842105,0.0
0,2,1368,13,0,353,432,0,0.009502923976608187,0.0,0.2580409356725146,0.3157894736842105,0.0
0,3,1368,31,0,0,432,0,0.02266081871345029,0.0,0.0,0.3157894736842105,0.0
0,4,1368,12,0,0,426,0,0.008771929824561403,0.0,0.0,0.31140350877192985,0.0
0,5,1368,4,0,0,429,0,0.0029239766081871343,0.0,0.0,0.31359649122807015,0.0
0,6,1368,3,0,227,3,0,0.0021929824561403508,0.0,0.16593567251461988,0.0021929824561403508,0.0
0,7,1368,0,0,157,12,0,0.0,0.0,0.11476608187134503,0.008771929824561403,0.0
0,8,1368,4,0,71,42,0,0.0029239766081871343,0.0,0.051900584795321635,0.03070175438596491,0.0
0,9,1368,17,0,36,210,0,0.012426900584795321,0.0,0.02631578947368421,0.15350877192982457,0.0
0,10,1368,101,73,27,207,0,0.07383040935672515,0.0533625730994152,0.019736842105263157,0.1513157894736842,0.0
0,11,1368,211,93,9,207,0,0.15423976608187134,0.06798245614035088,0.006578947368421052,0.1513157894736842,0.0
0,12,1368,130,73,19,420,0,0.09502923976608187,0.0533625730994152,0.013888888888888888,0.30701754385964913,0.0
0,13,1368,32,0,0,420,0,0.023391812865497075,0.0,0.0,0.30701754385964913,0.0
0,14,1368,29,0,0,0,0,0.021198830409356724,0.0,0.0,0.0,0.0
0,15,1368,26,0,0,0,0,0.019005847953216373,0.0,0.0,0.0,0.0
0,16,1368,8,0,0,0,0,0.005847953216374269,0.0,0.0,0.0,0.0
0,17,1368,140,0,0,432,0,0.1023391812865497,0.0,0.0,0.3157894736842105,0.0
0,18,1368,6,1,108,432,0,0.0043859649122807015,0.0007309941520467836,0.07894736842105263,0.3157894736842105,0.0
0,19,1368,10,7,118,9,0,0.007309941520467836,0.005116959064327485,0.08625730994152046,0.006578947368421052,0.0
0,20,1368,6,0,48,9,0,0.0043859649122807015,0.0,0.03508771929824561,0.006578947368421052,0.0
0,21,1368,2,0,92,9,0,0.0014619883040935672,0.0,0.06725146198830409,0.006578947368421052,0.0
0,22,1368,0,0,257,0,0,0.0,0.0,0.1878654970760234,0.0,0.0
