split,location,scenario,scenario_type,sample_count,rmse,mae,wet_dry_iou,false_dry_rate,false_wet_rate,target_wet_fraction,pred_wet_fraction,mean_target_depth,mean_pred_depth,max_target_depth,max_pred_depth,absolute_volume_bias_proxy,relative_volume_bias_proxy,absolute_relative_volume_bias_proxy,peak_depth_underprediction_proxy,warning_level
test,location1,G1135_intensity_103,measured,8,0.010105772224426502,0.004618382741076251,0.884897942975141,0.06693325517125868,0.0035198492421493824,0.060735066731770836,0.05997594197591146,0.01824522922839833,0.018262529135730194,1.6391682624816895,1.6542322635650635,27.210401445627213,0.0009481879956289335,0.0009481879956289335,0.0,caution
test,location1,G1135_intensity_161,measured,8,0.007771292212772041,0.0042810528151070075,0.8832039563521842,0.052500296947380926,0.003684473843642312,0.04817390441894531,0.04915173848470052,0.013645906112894105,0.013951035874924855,1.5366705656051636,1.5476961135864258,479.9276180267334,0.022360535057648595,0.022360535057648595,0.0,caution
test,location1,G1166_intensity_246,measured,8,0.009491679949558702,0.004351042676717043,0.8369107353032275,0.09436586673816866,0.003238187883626136,0.037938435872395836,0.03747367858886719,0.01069794530121726,0.010645427621057024,1.602015733718872,1.6110811233520508,82.60316848754883,-0.004909137098902527,0.004909137098902527,0.0,caution
test,location1,G1166_intensity_394,measured,8,0.01158688582879446,0.005649166841370364,0.9002992189220347,0.0632631607320952,0.004216310931519697,0.09434763590494792,0.09219741821289062,0.031905028391823485,0.03134894327376969,1.9416329860687256,1.96690833568573,874.6462631225586,-0.01742938797059034,0.01742938797059034,0.0,caution
test,location1,G3501_intensity_151,measured,8,0.008135115569305695,0.0046243356773629785,0.9017003806326147,0.04743593120341349,0.0044038128451509735,0.07241630554199219,0.07306607564290364,0.021320602616015094,0.021600271153147332,1.591009497642517,1.6030257940292358,439.8805739879608,0.01311729045229536,0.01311729045229536,0.0,reliable
test,location1,G3531_intensity_128,measured,8,0.014358219388239358,0.005895803294455011,0.8710314882560087,0.06967368759311734,0.006491218296029082,0.08705393473307292,0.08691469828287761,0.027079217423590762,0.027432619378184125,1.7513091564178467,1.7765047550201416,555.8532119095325,0.013050670891452202,0.013050670891452202,0.0,high-risk
test,location1,r100y_p0.5_d3h,design,8,0.01367455993891208,0.006032016671573122,0.9071095707920109,0.060274218878060906,0.004914200231979158,0.12023862202962239,0.11731465657552083,0.04172064579809861,0.0413654301034209,1.99599027633667,2.0085628032684326,558.7059783935547,-0.008514146602541189,0.008514146602541189,0.0,high-risk
test,location1,r100y_p0.8_d3h,design,8,0.013284833397875728,0.006140995072200894,0.9061948403716799,0.04748108445415139,0.006584698237812746,0.11411158243815105,0.11452674865722656,0.03996360920427833,0.0406544344247474,2.0066921710968018,2.022212266921997,1086.574119567871,0.017286357118994105,0.017286357118994105,0.0,high-risk
test,location1,r200y_p0.5_d3h,design,8,0.012236500722517642,0.0058017340100680785,0.9183513593071949,0.05081460398468937,0.00499750197942566,0.1295598347981771,0.12732632954915366,0.04709083390480373,0.04671520943520591,2.053644895553589,2.036886692047119,590.8062057495117,-0.007976594136284907,0.007976594136284907,0.016758203506469727,high-risk
test,location1,r200y_p0.7_d3h,design,8,0.011222721604274734,0.005633754539303482,0.9156570011042036,0.053376423675362925,0.004697980259504033,0.12197176615397136,0.11958630879720052,0.044486647636707254,0.044269854571515076,2.0695443153381348,2.0465455055236816,340.9860076904297,-0.0048732164977361775,0.0048732164977361775,0.022998809814453125,caution
test,location1,r300y_p0.1_d3h,design,8,0.013358786560154842,0.005988310130002598,0.9162704495656768,0.060257765381984844,0.004279890598635599,0.14315668741861978,0.13819758097330728,0.05239125185956558,0.051472487907934315,2.056236982345581,2.038039207458496,1445.0907440185547,-0.01753659091968262,0.01753659091968262,0.01819777488708496,caution
test,location1,r300y_p0.5_d3h,design,8,0.013141754852961623,0.0061147566108653946,0.9168097479922459,0.05673745393762109,0.004460169715476994,0.13388570149739584,0.13015238444010416,0.04987290750917358,0.04881523860967718,2.0905442237854004,2.0542848110198975,1663.5693359375,-0.021207283720161087,0.021207283720161087,0.03625941276550293,caution
test,location1,r300y_p0.6_d3h,design,8,0.015791566538873036,0.006744041301620503,0.8987276310456161,0.07721377898327138,0.004103177763064215,0.1329059600830078,0.12620162963867188,0.04911120426064978,0.04718889988726005,2.0998735427856445,2.049703359603882,3023.5233459472656,-0.03914187001376328,0.03914187001376328,0.050170183181762695,high-risk
test,location1,r300y_p0.8_d3h,design,8,0.014701976554463004,0.006353348532381157,0.9037500848764684,0.06267700216804077,0.005374555971433707,0.12639172871907553,0.12316513061523438,0.047084805206395686,0.046243727866870664,2.1098875999450684,2.076862335205078,1322.9002685546875,-0.017863031095449403,0.017863031095449403,0.033025264739990234,high-risk
test,location1,r500y_p0.1_d3h,design,8,0.014728131050044413,0.0064749143008763594,0.909609185048023,0.0716520317867039,0.003617547497128011,0.14937146504720053,0.14174588521321616,0.056167094696623586,0.05427469408217197,2.1000711917877197,2.061112880706787,2976.488800048828,-0.03369233578259793,0.03369233578259793,0.03895831108093262,high-risk
test,location1,r500y_p0.3_d3h,design,8,0.017437123733624518,0.0073753593023866415,0.9032680840304262,0.07787715698042101,0.003619758269976373,0.1477832794189453,0.1393591562906901,0.05568736653852587,0.05276835919357836,2.1143088340759277,2.0692806243896484,4591.201568603516,-0.05241776593849284,0.05241776593849284,0.0450282096862793,high-risk
test,location2,G1135_intensity_103,measured,8,0.007115698010527896,0.0029722228452252844,0.7753793545629408,0.16046280991735537,0.0016225705199097117,0.019232432047526043,0.017737706502278645,0.004186650097835809,0.00433512001230459,1.7207486629486084,1.9731961488723755,233.5229835510254,0.03546269953286267,0.03546269953286267,0.0,high-risk
test,location2,G1135_intensity_161,measured,8,0.0056874454158098,0.0027053874412861965,0.8264394618834081,0.10428088183832963,0.0013935345426576047,0.016351699829101562,0.01601727803548177,0.003441402904475884,0.0036187624185307263,1.450067162513733,1.560758113861084,278.96239471435547,0.051536980405336656,0.051536980405336656,0.0,high-risk
test,location2,G1166_intensity_246,measured,8,0.006926437686055327,0.002930005566061785,0.771089996025868,0.1445691382765531,0.0017630178420764977,0.015862782796223957,0.0153045654296875,0.0035600508296435387,0.0036750383442267776,1.8277907371520996,1.9193898439407349,180.85972213745117,0.032299402476439414,0.032299402476439414,0.0,high-risk
test,location2,G1166_intensity_394,measured,8,0.009649124305794489,0.0036234724102541804,0.8073695397244209,0.13951217606967797,0.002214033780280313,0.03255653381347656,0.030156453450520832,0.0071217859610139085,0.007291672581535143,1.911799430847168,2.195683002471924,267.2085494995117,0.023854496814595182,0.023854496814595182,0.0,high-risk
test,location2,G3501_intensity_151,measured,8,0.0062131313995710865,0.002909752094031622,0.8356436580404031,0.09887250650477017,0.0020030489116897986,0.024923960367838543,0.024412790934244793,0.0054171878000488505,0.005636212779791094,1.8582301139831543,2.035646677017212,344.4965057373047,0.04043149099247931,0.04043149099247931,0.0,high-risk
test,location2,G3531_intensity_128,measured,8,0.010259241887115963,0.0035668072135498128,0.7493095768374165,0.18643903854524352,0.0023153619630299506,0.026292165120442707,0.023644765218098957,0.005726576586312149,0.0057866347148471204,1.920006513595581,2.1722216606140137,94.4632682800293,0.010487614655940223,0.010487614655940223,0.0,high-risk
test,location2,r100y_p0.5_d3h,design,8,0.011937414329086758,0.004094562376849353,0.8393588693158541,0.10672098314645012,0.003144450661468375,0.04666455586751302,0.04468218485514323,0.013721403840463609,0.013771667649659017,2.723897933959961,2.808615207672119,79.05813598632812,0.0036631681262222033,0.0036631681262222033,0.0,caution
test,location2,r100y_p0.8_d3h,design,8,0.012623533681663787,0.0041921636438928545,0.827390391000881,0.10603309415727047,0.0036521965685968254,0.04341761271158854,0.042307535807291664,0.01247849416298171,0.012847385679682096,2.7810397148132324,2.831880569458008,580.2161865234375,0.029562182093631817,0.029562182093631817,0.0,high-risk
test,location2,r200y_p0.5_d3h,design,8,0.011883090225965122,0.004209870278524856,0.8443069949715527,0.11031506150727018,0.0028952063931731824,0.05111503601074219,0.04822349548339844,0.01565115023792411,0.015362662205006927,2.802802324295044,2.8178772926330566,453.75244140625,-0.018432385385845306,0.018432385385845306,0.0,high-risk
test,location2,r200y_p0.7_d3h,design,8,0.010056093493384953,0.0040161261179794865,0.842336379604409,0.1148871858658,0.0025345522146459337,0.04753684997558594,0.044489542643229164,0.014035571109464703,0.014110068523829492,2.6574695110321045,2.604567766189575,117.17430114746094,0.005307757966083302,0.005307757966083302,0.0529017448425293,high-risk
test,location2,r300y_p0.1_d3h,design,8,0.009740406075353992,0.003810005922180911,0.8305231358875743,0.14602006048249155,0.0013761972549398748,0.0464623769124349,0.040990193684895836,0.013751786978294453,0.013082311517791823,2.4913830757141113,2.4731757640838623,1052.9938507080078,-0.048682797483651855,0.048682797483651855,0.018207311630249023,high-risk
test,location2,r300y_p0.5_d3h,design,8,0.012170629789711907,0.004303432380159696,0.8106114359815028,0.15982806279004894,0.0019250360442249587,0.05014165242513021,0.04395612080891927,0.014587838270623857,0.013865571527276188,2.601851463317871,2.5458900928497314,1136.027359008789,-0.049511567783290314,0.049511567783290314,0.05596137046813965,high-risk
test,location2,r300y_p0.6_d3h,design,8,0.012770114532960654,0.0040990825509652495,0.8410884811469682,0.11180192121121026,0.002733247937394686,0.04652849833170573,0.043932596842447914,0.013944867692771368,0.013879819928357998,2.815062999725342,2.723261833190918,102.31128692626953,-0.00466463833479669,0.00466463833479669,0.09180116653442383,high-risk
test,location2,r300y_p0.8_d3h,design,8,0.015696815273507792,0.004537691401007275,0.8250535130430692,0.11448984486436677,0.003886470863519596,0.05036735534667969,0.048291524251302086,0.015394630575125726,0.015289750658363724,2.903520107269287,2.844587564468384,164.96184539794922,-0.0068127595690061086,0.0068127595690061086,0.05893254280090332,high-risk
test,location2,r500y_p0.1_d3h,design,8,0.010566763255156323,0.004004571198796232,0.8228358474727175,0.15764322916666668,0.0012178623374401096,0.048828125,0.04228909810384115,0.014957646373659372,0.01396942492768479,2.5204992294311523,2.476625680923462,1554.3379364013672,-0.06606797762747323,0.06606797762747323,0.04387354850769043,high-risk
test,location2,r500y_p0.3_d3h,design,8,0.013403122306542694,0.0041787811787799,0.8441715895448765,0.1220811649381312,0.0021676082647940605,0.05143292744954427,0.0472100575764974,0.01645585192212214,0.01587924510628606,2.799431800842285,2.798922061920166,906.9241027832031,-0.035039621076131004,0.035039621076131004,0.0005097389221191406,high-risk
test,location3,G1135_intensity_103,measured,8,0.011612455743546385,0.005174828149999182,0.8478816042870301,0.09153097384829319,0.004294691890230587,0.05669403076171875,0.05555597941080729,0.01729530381544464,0.017364112592379872,1.5508058071136475,1.5844188928604126,108.22684812545776,0.003978465927484123,0.003978465927484123,0.0,caution
test,location3,G1135_intensity_161,measured,8,0.00886706231453772,0.004738734026129047,0.8638617725105964,0.06799751276005907,0.004071085199275242,0.04907862345377604,0.04961268107096354,0.013917965004414631,0.014054570647810275,1.4741727113723755,1.517911434173584,214.86209869384766,0.009815058692295538,0.009815058692295538,0.0,caution
test,location3,G1166_intensity_246,measured,8,0.010215940152172637,0.005017586789714794,0.8302860594081151,0.0894201240440778,0.004264369677835634,0.042233784993489586,0.04254150390625,0.012184797725543225,0.012258639913246347,1.549285650253296,1.5554816722869873,116.14371871948242,0.006060189866617536,0.006060189866617536,0.0,high-risk
test,location3,G1166_intensity_394,measured,8,0.013354511044129791,0.006463187087016801,0.8624878864060898,0.09321796140159178,0.004839232568396945,0.08611424763997395,0.08250935872395833,0.03100137901492417,0.03024963508748139,1.8979105949401855,1.8944263458251953,1182.3909606933594,-0.02424872542221064,0.02424872542221064,0.0034842491149902344,caution
test,location3,G3501_intensity_151,measured,8,0.009481738155917257,0.005122754451197882,0.8806668075663109,0.06136489492505373,0.00478271810879064,0.06773821512858073,0.0680402119954427,0.019741210987679853,0.019882537312999677,1.4196462631225586,1.4366775751113892,222.28708934783936,0.007158949134783226,0.007158949134783226,0.0,caution
test,location3,G3531_intensity_128,measured,8,0.013891983002547268,0.0061841910937801,0.8524525008182796,0.07471006708003079,0.006943952725300365,0.07516034444173177,0.07596715291341145,0.02553527206691797,0.02618211520893965,1.6050019264221191,1.621704339981079,1017.3962917327881,0.02533135892684273,0.02533135892684273,0.0,high-risk
test,location3,r100y_p0.5_d3h,design,8,0.012039682549643854,0.006287606083787978,0.889873189494561,0.05903810467983426,0.006382161033353397,0.10004425048828125,0.09988149007161458,0.04152120372358089,0.04239706975446703,1.905573844909668,1.925819754600525,1377.618148803711,0.021094427722207945,0.021094427722207945,0.0,high-risk
test,location3,r100y_p0.8_d3h,design,8,0.013666005032846453,0.006810562723937134,0.8808870982784026,0.056818181818181816,0.007467061423486344,0.0955047607421875,0.096832275390625,0.03886938081510986,0.040137793752364814,1.9246089458465576,1.9531327486038208,1995.0410461425781,0.03263270241654788,0.03263270241654788,0.0,high-risk
test,location3,r200y_p0.5_d3h,design,8,0.012519146963999575,0.0063772348609442515,0.8922807845212959,0.06790153136043464,0.005279151581683583,0.10578664143880208,0.10332425435384114,0.04505123904285332,0.045074125829463206,1.958777666091919,1.9407349824905396,35.997802734375,0.0005080168069987569,0.0005080168069987569,0.018042683601379395,high-risk
