split,location,scenario,scenario_type,rmse,wet_dry_iou,false_dry_rate,false_wet_rate,absolute_relative_volume_bias_proxy,warning_level
test,location1,G1135_intensity_103,measured,0.010105772224426502,0.884897942975141,0.06693325517125868,0.0035198492421493824,0.0009481879956289335,caution
test,location1,G1135_intensity_161,measured,0.007771292212772041,0.8832039563521842,0.052500296947380926,0.003684473843642312,0.022360535057648595,caution
test,location1,G1166_intensity_246,measured,0.009491679949558702,0.8369107353032275,0.09436586673816866,0.003238187883626136,0.004909137098902527,caution
test,location1,G1166_intensity_394,measured,0.01158688582879446,0.9002992189220347,0.0632631607320952,0.004216310931519697,0.01742938797059034,caution
test,location1,G3501_intensity_151,measured,0.008135115569305695,0.9017003806326147,0.04743593120341349,0.0044038128451509735,0.01311729045229536,reliable
test,location1,G3531_intensity_128,measured,0.014358219388239358,0.8710314882560087,0.06967368759311734,0.006491218296029082,0.013050670891452202,high-risk
test,location1,r100y_p0.5_d3h,design,0.01367455993891208,0.9071095707920109,0.060274218878060906,0.004914200231979158,0.008514146602541189,high-risk
test,location1,r100y_p0.8_d3h,design,0.013284833397875728,0.9061948403716799,0.04748108445415139,0.006584698237812746,0.017286357118994105,high-risk
test,location1,r200y_p0.5_d3h,design,0.012236500722517642,0.9183513593071949,0.05081460398468937,0.00499750197942566,0.007976594136284907,high-risk
test,location1,r200y_p0.7_d3h,design,0.011222721604274734,0.9156570011042036,0.053376423675362925,0.004697980259504033,0.0048732164977361775,caution
test,location1,r300y_p0.1_d3h,design,0.013358786560154842,0.9162704495656768,0.060257765381984844,0.004279890598635599,0.01753659091968262,caution
test,location1,r300y_p0.5_d3h,design,0.013141754852961623,0.9168097479922459,0.05673745393762109,0.004460169715476994,0.021207283720161087,caution
test,location1,r300y_p0.6_d3h,design,0.015791566538873036,0.8987276310456161,0.07721377898327138,0.004103177763064215,0.03914187001376328,high-risk
test,location1,r300y_p0.8_d3h,design,0.014701976554463004,0.9037500848764684,0.06267700216804077,0.005374555971433707,0.017863031095449403,high-risk
test,location1,r500y_p0.1_d3h,design,0.014728131050044413,0.909609185048023,0.0716520317867039,0.003617547497128011,0.03369233578259793,high-risk
test,location1,r500y_p0.3_d3h,design,0.017437123733624518,0.9032680840304262,0.07787715698042101,0.003619758269976373,0.05241776593849284,high-risk
test,location2,G1135_intensity_103,measured,0.007115698010527896,0.7753793545629408,0.16046280991735537,0.0016225705199097117,0.03546269953286267,high-risk
test,location2,G1135_intensity_161,measured,0.0056874454158098,0.8264394618834081,0.10428088183832963,0.0013935345426576047,0.051536980405336656,high-risk
test,location2,G1166_intensity_246,measured,0.006926437686055327,0.771089996025868,0.1445691382765531,0.0017630178420764977,0.032299402476439414,high-risk
test,location2,G1166_intensity_394,measured,0.009649124305794489,0.8073695397244209,0.13951217606967797,0.002214033780280313,0.023854496814595182,high-risk
