window_step,sample_count,rmse,mae,wet_dry_iou,false_dry_rate,false_wet_rate,mean_target_depth,mean_pred_depth,volume_bias_proxy
0,384,0.010631677563434977,0.005001030637383034,0.8901941732418659,0.07422204726965781,0.0033973577179689527,0.028075686453557274,0.027700416031223085,-0.013366384574601911
1,384,0.010552174133284119,0.00495897503666735,0.8905561523969671,0.0725773271097365,0.0035227269787420456,0.028115201688400426,0.02784566477350836,-0.009586874669416628
2,384,0.010656805248382284,0.004961638718062507,0.8902297543884196,0.07232941290824262,0.00358232464564843,0.028155694126553388,0.027904148370358445,-0.008934098909595362
3,384,0.01084386669363293,0.004978890808464105,0.8887477430127942,0.07327909596293578,0.0036446670437606725,0.028196401832548384,0.02793491434332888,-0.00927378928603777
4,384,0.011151171686267065,0.005033284237773235,0.8870723191826791,0.07472288202692003,0.0036786880041957365,0.028237420162618026,0.02794895601192593,-0.010215669456729519
5,384,0.011515603690940585,0.005091044726214022,0.8851668447400097,0.07602110375204704,0.0037512811398953,0.028280294130829813,0.027983781335554642,-0.01048478470214794
6,384,0.011958463459472303,0.005178332428234474,0.8825223615662144,0.07730056904072254,0.0039030796484001203,0.028330092329529544,0.02806542416984333,-0.009342297815610712
7,384,0.012559126457175338,0.005291144005241222,0.878244603268609,0.08044927495514877,0.00404564569623876,0.028393745912919915,0.028112635979596234,-0.00990041730266265
8,384,0.013112789047316819,0.00542070431523219,0.8741251001793687,0.08432477812425042,0.004106247159471582,0.028469377343806723,0.028130762043285056,-0.01189401848984699
9,384,0.013860942611809144,0.0055525619124334,0.8686644033831598,0.0892497592576381,0.004206539336696584,0.028551270492454577,0.02815054007771778,-0.01403546699761404
10,384,0.01470133323946167,0.005705789173589437,0.8633630207636012,0.09303339091298078,0.004405832184712116,0.028634156230603686,0.02822142688709543,-0.014413881805504068
11,384,0.015624746930443488,0.005861531816359881,0.8583329894161036,0.09708833657290011,0.004549759788794615,0.028715471895638462,0.028261470197321614,-0.015810351296570765
