phase,seed,run_name,run_dir,step_count,mean_target_volume_proxy,mean_prediction_volume_proxy,mean_volume_bias,mean_relative_volume_bias,mean_absolute_relative_volume_bias,mean_target_wet_area,mean_prediction_wet_area,mean_target_dry_area,mean_wet_area_bias,mean_wet_area_contraction,mean_false_dry_rate,mean_false_wet_rate,mean_false_dry_volume_loss,mean_false_wet_volume_excess,mean_peak_depth_target,mean_peak_depth_prediction,mean_peak_depth_underprediction,mean_rmse,mean_mae,sum_target_volume_proxy,sum_prediction_volume_proxy,sum_volume_bias,sum_target_wet_area,sum_prediction_wet_area,sum_target_dry_area,sum_false_dry_count,sum_false_wet_count,sum_false_dry_volume_loss,sum_false_wet_volume_excess,aggregate_relative_volume_bias,absolute_aggregate_relative_volume_bias,aggregate_false_dry_rate,aggregate_false_wet_rate,aggregate_wet_area_contraction
phase10,seed123,phase10_margin_aware_boundary_band_seed123_40e,runs/phase10_margin_aware_boundary_band_seed123_40e,456,705.0130985194012,642.0207323836522,-62.99236613574883,-0.05185897532868516,0.3617714825696087,1902.5745614035088,1760.1206140350878,14481.42543859649,-142.45394736842104,0.13773163560056387,0.18536458574281814,0.013489747878692305,44.72616982246798,14.951096756612522,1.6625039526506473,1.552374563849809,0.23185659513661735,0.05688073429062103,0.022525201215203544,321485.9729248469,292761.4539669454,-28724.518957901466,867574.0,802615.0,6603530.0,153425.0,88466.0,20395.1334390454,6817.70012101531,-0.08934921389125844,0.08934921389125844,0.1768437043987026,0.013396774149583632,0.07487430467026444
phase10,seed202,phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e,456,705.0130985194012,666.2821765081271,-38.73092201127397,-0.04478841394647894,0.23771264503735137,1902.5745614035088,1828.1359649122808,14481.42543859649,-74.43859649122807,0.09490753420983547,0.13019006371063543,0.01134924383195206,27.356923519404965,12.043772686566962,1.6625039526506473,1.5768411471916919,0.15157143706292436,0.042852497410836264,0.018512268700884203,321485.9729248469,303824.67248770595,-17661.30043714093,867574.0,833630.0,6603530.0,107752.0,73808.0,12474.757124848664,5491.960345074534,-0.05493645734045626,0.05493645734045626,0.12419920375668243,0.011177052273556719,0.0391251927789445
phase10,seed42,phase10_margin_aware_boundary_band_seed42_40e,runs/phase10_margin_aware_boundary_band_seed42_40e,456,705.0130985194012,622.028065840926,-82.98503267847497,-0.11929452537225223,0.2661452680071824,1902.5745614035088,1732.3311403508771,14481.42543859649,-170.2434210526316,0.14683036870896826,0.22170446229317903,0.014008301492230963,45.85782493442591,14.85707370021887,1.6625039526506473,1.4893592814016237,0.21515182173696526,0.05537688233845812,0.02141541844734149,321485.9729248469,283644.7980234623,-37841.174901384584,867574.0,789943.0,6603530.0,169180.0,91549.0,20911.168170098215,6774.825607299805,-0.11770707927661476,0.11770707927661476,0.19500353860304712,0.013863645656186918,0.089480551514914
phase25,seed123,phase25_target_wet_recall_seed123_40e,runs/phase25_target_wet_recall_seed123_40e,456,705.0130985194012,687.63156262795,-17.381535891451048,0.04822687785720251,0.36259719001417007,1902.5745614035088,1999.6206140350878,14481.42543859649,97.04605263157895,0.052855383759888325,0.07971529609032792,0.018475341497897337,18.30987780939853,20.01028276512628,1.6625039526506473,1.5426678949999704,0.22439832936384177,0.05212148273281723,0.021536662343889366,321485.9729248469,313559.9925583452,-7925.980366501677,867574.0,911827.0,6603530.0,76962.0,121215.0,8349.30428108573,9124.688940897584,-0.024654202777159788,0.024654202777159788,0.08870943573689391,0.01835609136325571,0.0
phase25,seed202,phase25_target_wet_recall_seed202_40e,runs/phase25_target_wet_recall_seed202_40e,456,705.0130985194012,694.8886680524927,-10.124430466908347,0.018298427336766322,0.2401856601453143,1902.5745614035088,1987.8793859649122,14481.42543859649,85.3048245614035,0.04291346674146747,0.06508596413171866,0.015502694539753264,13.986592739412005,16.432115479780915,1.6625039526506473,1.5787428599177746,0.14762006085692791,0.040674166656734456,0.018420579649032993,321485.9729248469,316869.23263193667,-4616.740292910206,867574.0,906473.0,6603530.0,62353.0,101252.0,6377.8862891718745,7493.044658780098,-0.014360627466596968,0.014360627466596968,0.07187052631821608,0.015333011283359052,0.0
phase25,seed42,phase25_target_wet_recall_seed42_40e,runs/phase25_target_wet_recall_seed42_40e,456,705.0130985194012,707.1057515067881,2.092652987387123,0.03792784327929691,0.24017909346343827,1902.5745614035088,1992.5526315789473,14481.42543859649,89.9780701754386,0.042322365124942626,0.07209521943650161,0.016355486858192138,13.638884025013173,17.39999032958427,1.6625039526506473,1.6038087575059188,0.13942117544642665,0.04151884233349473,0.017939444064194548,321485.9729248469,322440.2226870954,954.249762248528,867574.0,908604.0,6603530.0,65925.0,106955.0,6219.331115406007,7934.395590290427,0.002968246961342854,0.002968246961342854,0.075987754358706,0.01619664028178868,0.0
