seed,paired_step_count,unmatched_step_count,mean_delta_relative_volume_bias,mean_delta_absolute_relative_volume_bias,mean_delta_false_dry_rate,mean_delta_false_dry_volume_loss,mean_delta_wet_area_contraction,mean_delta_peak_depth_underprediction,mean_delta_rmse,mean_delta_mae,mean_delta_false_wet_rate,mean_delta_false_wet_volume_excess,delta_mean_step_relative_volume_bias,delta_mean_step_absolute_relative_volume_bias,mean_step_absolute_relative_volume_bias_improved,false_dry_rate_improved,false_dry_volume_loss_improved,wet_area_contraction_improved,peak_depth_underprediction_improved,rmse_improved,mae_improved,false_wet_rate_tradeoff_increased,false_wet_volume_excess_tradeoff_increased,delta_aggregate_relative_volume_bias,delta_aggregate_absolute_relative_volume_bias,aggregate_volume_proxy_improved
seed123,456,0,0.10008585318588764,0.000825707444561417,-0.10564928965249022,-26.41629201306945,-0.08487625184067556,-0.0074582657727756,-0.004759251557803807,-0.0009885388713141733,0.004985593619205029,5.059186008513758,0.10008585318588764,0.000825707444561417,False,True,True,True,True,True,True,True,True,0.06469501111409864,-0.06469501111409864,True
seed42,456,0,0.15722236865154915,-0.025966174543744166,-0.14960924285667743,-32.21894090941274,-0.10450800358402565,-0.0757306462905386,-0.013858040004963391,-0.0034759743831469393,0.0023471853659611727,2.5429166293654,0.15722236865154915,-0.025966174543744166,True,True,True,True,True,True,True,True,True,0.12067532623795763,-0.1147388323152719,True
seed202,456,0,0.06308684128324527,0.0024730151079629505,-0.06510409957891676,-13.370330779992958,-0.05199406746836801,-0.003951376205996463,-0.002178330754101814,-9.168905185121116e-05,0.0041534507078012034,4.388342793213955,0.06308684128324527,0.0024730151079629505,False,True,True,True,True,True,True,True,True,0.04057582987385929,-0.04057582987385929,True
