phase,seed,run_name,run_dir,batch_file,batch_name,batch_index,sample_index,timestep,target_volume_proxy,prediction_volume_proxy,volume_bias,relative_volume_bias,absolute_relative_volume_bias,target_wet_area,prediction_wet_area,target_dry_area,wet_area_bias,wet_area_contraction,false_dry_count,false_wet_count,false_dry_rate,false_wet_rate,false_dry_volume_loss,false_wet_volume_excess,peak_depth_target,peak_depth_prediction,peak_depth_underprediction,rmse,mae
phase10,seed123,phase10_margin_aware_boundary_band_seed123_40e,runs/phase10_margin_aware_boundary_band_seed123_40e,runs/phase10_margin_aware_boundary_band_seed123_40e/evaluation_test/test_batch_0000/forecast_maps.npz,test_batch_0000,0,0,0,969.057372589124,698.7087868452072,-270.34858574391683,-0.2789809905904747,0.2789809905904747,3265,2637,13119,-628,0.19234303215926488,915,287,0.2802450229709034,0.021876667428919885,111.82831898704171,24.31112913787365,1.7146224975585938,1.622204303741455,0.09241819381713867,0.06543203033108054,0.030609724937865984
phase10,seed123,phase10_margin_aware_boundary_band_seed123_40e,runs/phase10_margin_aware_boundary_band_seed123_40e,runs/phase10_margin_aware_boundary_band_seed123_40e/evaluation_test/test_batch_0000/forecast_maps.npz,test_batch_0000,0,0,1,1064.583655907911,758.0869071036577,-306.49674880425323,-0.28790292533926115,0.28790292533926115,3337,2700,13047,-637,0.19089002097692534,801,164,0.24003596044351208,0.012569939449681917,93.96798458695412,11.944987043738365,1.7945806980133057,1.6767513751983643,0.1178293228149414,0.06363810131786865,0.029224186029266196
phase10,seed123,phase10_margin_aware_boundary_band_seed123_40e,runs/phase10_margin_aware_boundary_band_seed123_40e,runs/phase10_margin_aware_boundary_band_seed123_40e/evaluation_test/test_batch_0000/forecast_maps.npz,test_batch_0000,0,0,2,1107.2891131704864,800.300789013505,-306.98832415698143,-0.2772431522224449,0.2772431522224449,3342,2743,13042,-599,0.1792339916217833,722,123,0.21603830041891078,0.009431068854470172,80.23377583175898,9.137845873832703,1.845705509185791,1.7246088981628418,0.12109661102294922,0.060790869354792235,0.028328723005438483
phase10,seed123,phase10_margin_aware_boundary_band_seed123_40e,runs/phase10_margin_aware_boundary_band_seed123_40e,runs/phase10_margin_aware_boundary_band_seed123_40e/evaluation_test/test_batch_0000/forecast_maps.npz,test_batch_0000,0,0,3,1127.3174428809161,876.277737736702,-251.03970514421417,-0.22268767925977392,0.22268767925977392,3315,2777,13069,-538,0.16229260935143283,654,116,0.1972850678733031,0.008875966026474863,70.42427014932036,10.252183422446251,1.8857417106628418,1.8528738021850586,0.0328679084777832,0.05542366272959117,0.025915183935846353
phase10,seed123,phase10_margin_aware_boundary_band_seed123_40e,runs/phase10_margin_aware_boundary_band_seed123_40e,runs/phase10_margin_aware_boundary_band_seed123_40e/evaluation_test/test_batch_0000/forecast_maps.npz,test_batch_0000,0,0,4,1134.5730240651674,884.5702048689127,-250.00281919625468,-0.22034969446082553,0.22034969446082553,3293,2790,13091,-503,0.15274825387184934,583,80,0.17704221075007587,0.006111068673134213,60.10932930931449,6.104147091507912,1.9156646728515625,1.8112537860870361,0.10441088676452637,0.05356124391694991,0.025101841437938976
phase10,seed123,phase10_margin_aware_boundary_band_seed123_40e,runs/phase10_margin_aware_boundary_band_seed123_40e,runs/phase10_margin_aware_boundary_band_seed123_40e/evaluation_test/test_batch_0000/forecast_maps.npz,test_batch_0000,0,0,5,1134.364568497157,936.3428163230419,-198.02175217411514,-0.1745662352945849,0.1745662352945849,3234,2858,13150,-376,0.1162646876932591,460,84,0.14223871366728505,0.006387832699619771,45.39181972295046,5.8288558423519135,1.9409137964248657,1.8460025787353516,0.09491121768951416,0.04824438888407079,0.02244876476146923
phase10,seed123,phase10_margin_aware_boundary_band_seed123_40e,runs/phase10_margin_aware_boundary_band_seed123_40e,runs/phase10_margin_aware_boundary_band_seed123_40e/evaluation_test/test_batch_0000/forecast_maps.npz,test_batch_0000,0,0,6,1128.792211981074,989.1570664346218,-139.63514554645212,-0.12370314400148716,0.12370314400148716,3173,2888,13211,-285,0.0898203592814371,376,91,0.11849984242042227,0.00688819922791613,34.915908209979534,6.0058183670043945,1.959228515625,1.8852369785308838,0.07399153709411621,0.04318602340299071,0.02017537559217529
phase10,seed123,phase10_margin_aware_boundary_band_seed123_40e,runs/phase10_margin_aware_boundary_band_seed123_40e,runs/phase10_margin_aware_boundary_band_seed123_40e/evaluation_test/test_batch_0000/forecast_maps.npz,test_batch_0000,0,0,7,1094.0261217521659,1106.350597575307,12.324475823141029,0.011265248222229315,0.011265248222229315,3036,3018,13348,-18,0.005928853754940709,199,181,0.06554677206851119,0.013560083907701526,16.52984108030796,12.415111288428307,1.9651845693588257,1.9700095653533936,0.0,0.03743887410315091,0.018141704426116054
phase10,seed123,phase10_margin_aware_boundary_band_seed123_40e,runs/phase10_margin_aware_boundary_band_seed123_40e,runs/phase10_margin_aware_boundary_band_seed123_40e/evaluation_test/test_batch_0000/forecast_maps.npz,test_batch_0000,0,0,8,1048.6717403431967,1175.457881912589,126.78614156939238,0.12090164795315189,0.12090164795315189,2916,3019,13468,103,0.0,134,237,0.04595336076817557,0.017597267597267596,10.495594713836908,16.138161778450012,1.9606894254684448,2.060983419418335,0.0,0.039352143812146134,0.019733688231246056
phase10,seed123,phase10_margin_aware_boundary_band_seed123_40e,runs/phase10_margin_aware_boundary_band_seed123_40e,runs/phase10_margin_aware_boundary_band_seed123_40e/evaluation_test/test_batch_0000/forecast_maps.npz,test_batch_0000,0,0,9,1005.9027698431008,1281.4294575154781,275.5266876723773,0.27390986080628177,0.27390986080628177,2797,3173,13587,376,0.0,66,442,0.023596710761530203,0.032531095900493114,4.9850055277347565,30.907526791095734,1.9513360261917114,2.126455307006836,0.0,0.04682372255397189,0.02406905450046099
