metric,pearson_correlation_with_risk_score,mean_reliable,mean_caution,mean_high_risk,row_count
relative_volume_bias,-0.7147365335109495,-0.020627015469799226,-0.08913097878543844,-0.3858091426406479,152
wet_area_contraction,0.7307153579770422,0.036353028937752094,0.10245413460996272,0.3046404614971119,152
peak_depth_underprediction,0.848764474045451,0.018152692101218483,0.2152350561959403,1.363504217730628,152
false_dry_rate,0.7694675972227734,0.10674592566018465,0.21638922143971456,0.3773601540227893,152
false_wet_rate,-0.5218733400227955,0.016758902985548243,0.009932032524715095,0.006221293989316304,152
wet_component_count_change,-0.21093579297809018,-1.8080808080808082,-21.285714285714285,-28.5,152
largest_component_ratio_change,-0.6201658707806016,-0.03148372136250238,-0.036290911804046005,-0.29053758304023625,152
connectivity_loss_indicator,0.44006089308162766,0.24242424242424243,0.2857142857142857,0.9444444444444444,152
rmse,0.5413894502138317,0.04753085742284773,0.04338557812647859,0.08193351653112395,152
mae,-0.057666073952121075,0.017400772109835375,0.011751439402503595,0.01761802868228797,152
